,ID_transaccion,Rut,Fecha,Monto,Local
227,21964,18089664,43:02.0,87763,L15
228,16375,18089664,46:14.0,45941,L17
229,16818,18089664,39:04.0,76117,L1
230,16970,18089664,08:51.6,21037,L8
231,11426,18089664,36:40.9,72145,L14
232,13956,18093476,54:33.9,31566,L17
233,14595,18093476,34:28.9,39669,L4
234,17154,18093476,28:10.4,33002,L1
235,16315,18093476,11:46.3,15432,L2
236,11365,18093476,59:36.9,6097,L14
237,15175,18093476,54:37.4,79222,L7
238,18895,18093476,46:52.6,31522,L2
239,16544,18093476,57:20.5,88558,L1
240,21263,18093476,01:06.2,3790,L2
241,17954,18093476,47:37.1,43255,L1
242,16453,18093476,38:09.8,26243,L10
243,14757,18093476,57:54.7,58407,L3
244,12687,18093476,04:33.1,54453,L14
245,10653,18093476,03:31.0,63369,L17
246,15259,18093476,44:06.9,40384,L17
247,20974,18093476,08:18.2,63821,L17
248,18582,18093476,45:29.2,36194,L8
249,10694,18093476,21:58.6,17332,L16
250,14759,18094101,24:02.8,33851,L16
251,21063,18094101,26:25.0,2627,L17
252,11236,18094101,09:19.7,82820,L7
253,17030,18094101,50:56.7,27839,L11
254,14119,18094101,45:02.9,17827,L17
255,16610,18094101,08:36.6,40622,L11
256,14359,18094101,44:56.4,72271,L2
257,16713,18094101,10:19.4,1602,L15
258,20113,18094101,28:34.1,28722,L2
259,21978,18094101,05:11.4,85458,L12
260,21562,18094101,18:13.6,26832,L6
261,21088,18094101,37:48.5,70347,L3
262,10030,18094101,00:25.2,16480,L17
263,15466,18094101,24:35.5,22581,L3
264,10384,18094101,50:11.4,80751,L14
265,16170,18099335,46:44.4,31341,L4
266,15740,18099335,56:04.1,48568,L7
267,10919,18099335,23:41.4,55757,L8
268,14044,18099335,12:12.4,51640,L1
269,19113,18099335,24:08.3,40042,L7
270,17245,18099335,42:18.4,48387,L8
271,12314,18099335,50:36.8,84324,L3
272,15570,18099335,13:44.8,62708,L11
273,19998,18099335,04:34.0,55035,L11
274,13548,18099335,24:45.2,54239,L6
275,18043,18099335,48:16.9,28749,L17
276,20472,18099335,00:57.7,56641,L8
277,16985,18099335,55:39.2,16458,L6
278,10340,18099335,36:17.2,83925,L7
279,15499,18099335,35:21.8,57598,L11
280,10997,18109627,30:57.8,59798,L5
281,16288,18109627,50:01.4,43813,L1
282,22247,18109627,27:25.9,83698,L12
283,14952,18109627,14:37.2,87647,L11
284,11579,18109627,48:26.3,48427,L13
285,19458,18109627,32:00.7,72513,L4
286,15093,18109627,44:44.4,12454,L4
287,17546,18109627,34:17.1,6810,L12
288,21868,18109627,54:14.9,42740,L11
289,18776,18109627,50:00.8,28009,L16
290,18437,18109627,08:32.2,18228,L11
291,15238,18109627,23:48.1,22890,L6
292,13311,18109627,41:21.3,8186,L5
293,22266,18109627,34:07.8,7376,L9
294,14971,18109627,06:50.7,67874,L2
295,13727,18109627,07:12.0,40347,L15
296,13074,18109627,49:43.0,59304,L7
297,10748,18109627,05:05.9,34367,L5
298,10429,18109627,57:57.1,17225,L5
299,15410,18109627,39:19.5,42320,L4
300,17675,18109627,08:49.2,88897,L10
301,20585,18109627,57:03.2,40488,L13
302,22209,18109627,51:17.8,43727,L3
303,17039,18115520,33:38.8,30114,L17
304,10783,18115520,47:55.0,75615,L1
305,14258,18115520,02:48.0,63730,L2
306,19003,18115520,36:07.5,43069,L2
307,18012,18115520,39:23.6,32146,L12
308,18965,18115520,59:39.2,28248,L8
309,18612,18115520,17:10.6,7429,L3
310,10333,18115520,00:13.8,24443,L11
311,13039,18115520,05:02.1,35333,L8
312,19677,18115520,45:29.8,9430,L17
313,22218,18115520,40:59.9,47490,L11
314,18150,18115520,35:28.9,3435,L16
315,17798,18115520,17:59.8,18440,L13
316,21030,18115520,43:56.1,26174,L16
317,18165,18115520,10:53.0,75059,L1
318,19832,18115520,39:01.1,52531,L5
319,22148,18120275,00:41.6,76655,L11
320,11429,18120275,26:42.6,69696,L17
321,17071,18120275,09:53.6,30429,L7
322,11804,18120275,15:14.1,54183,L8
323,12617,18120275,06:10.3,73610,L3
324,15019,18120275,57:54.1,4581,L13
325,13487,18120275,57:31.6,3523,L17
326,11900,18120275,37:09.5,44728,L5
327,13764,18120275,19:24.7,63260,L7
328,14479,18120275,38:46.1,22878,L10
329,16412,18120275,55:35.4,66250,L1
330,13649,18120275,41:38.3,55085,L13
331,10321,18120275,57:52.1,20143,L9
332,12929,18120275,41:25.7,39558,L15
333,17187,18126534,09:10.3,30043,L12
334,15353,18126534,12:26.4,59264,L9
335,13531,18126534,51:45.9,23522,L11
336,20116,18126534,32:04.8,51640,L17
337,14874,18126534,31:51.1,86135,L4
338,18395,18126534,18:09.5,42938,L3
339,22132,18126534,30:56.3,81029,L3
340,10632,18126534,31:54.9,79657,L5
341,10066,18126534,33:43.8,60143,L4
342,17148,18126534,23:35.8,81824,L6
343,13707,18126534,30:10.7,33975,L6
344,11361,18131246,47:23.4,27993,L11
345,21437,18131246,22:59.2,77376,L12
346,14638,18131246,46:39.4,45985,L3
347,14045,18131246,39:40.3,15116,L11
348,17436,18131246,43:14.0,35916,L15
349,11406,18131246,02:45.1,82384,L8
350,10869,18131246,00:54.4,87223,L7
351,10488,18131246,19:00.1,16818,L11
352,22293,18131246,06:04.1,76049,L16
353,21235,18131246,49:19.8,87998,L7
354,16056,18131246,19:01.0,32312,L6
355,19893,18131246,07:25.8,45358,L5
356,17129,18131246,50:56.4,73327,L4
357,12338,18131246,13:14.4,56538,L3
358,18145,18131246,58:46.5,51377,L8
359,15640,18131246,10:24.3,47161,L4
360,12064,18131246,41:16.3,9437,L5
361,15357,18131246,37:44.7,37541,L11
362,14487,18131246,06:55.6,60372,L5
363,13666,18131246,29:20.6,27034,L15
364,19454,18131246,48:02.6,45172,L8
365,21388,18138825,42:34.5,63128,L12
366,14978,18138825,28:25.3,31387,L1
367,20417,18138825,23:06.0,44843,L15
368,17105,18138825,45:57.3,76211,L4
369,16047,18138825,09:26.1,50713,L3
370,15706,18138825,38:33.8,69978,L3
371,10978,18138825,22:48.1,71515,L1
372,14863,18138825,24:18.9,17393,L10
373,18935,18138825,46:59.4,70896,L14
374,14889,18138825,17:20.3,35535,L11
375,12214,18138825,58:37.7,44362,L3
376,22265,18138825,53:04.6,36219,L13
377,18704,18138825,59:30.7,13140,L15
378,14247,18138825,55:46.2,82022,L10
379,13788,18145026,32:03.1,86524,L8
380,10411,18145026,17:08.0,6475,L8
381,21857,18145026,12:17.3,31978,L4
382,17789,18145026,18:56.9,41173,L3
383,19842,18145026,53:07.3,81077,L5
384,10178,18145026,12:17.0,6490,L1
385,11228,18145026,16:26.4,61268,L3
386,17068,18145026,34:04.3,18194,L5
387,19477,18145026,59:43.6,47931,L5
388,13977,18145026,03:58.0,72110,L13
389,18858,18145026,20:39.0,68630,L4
390,13765,18145026,25:37.0,34283,L2
391,18660,18145026,07:05.0,69589,L17
392,18655,18145026,06:36.9,57089,L7
393,21990,18145026,13:56.3,77157,L1
394,17260,18169775,10:08.8,73202,L8
395,15427,18169775,25:23.8,69634,L7
396,19215,18169775,15:12.1,4952,L8
397,11299,18169775,20:30.8,73831,L17
398,14741,18169775,55:15.8,72240,L17
399,16226,18169775,13:57.7,62315,L4
400,12978,18169775,44:52.3,61225,L16
401,17403,18169775,19:07.1,5677,L17
402,14457,18169775,55:46.8,79875,L16
403,21922,18169775,44:22.5,19186,L4
404,20594,18169775,03:39.5,72193,L12
405,11693,18169775,16:43.1,35995,L2
406,21135,18169775,47:28.3,11199,L5
407,10188,18170442,34:41.1,5597,L7
408,20208,18170442,28:40.2,19016,L14
409,11553,18170442,58:10.2,87987,L9
410,14388,18170442,07:39.8,4498,L7
411,17883,18170442,20:47.2,27266,L5
412,21801,18170442,27:42.9,3882,L6
413,10135,18170442,36:02.8,28320,L4
414,14859,18170442,23:04.5,35386,L9
415,20145,18170442,46:51.2,12608,L8
416,20144,18170442,21:53.1,80283,L10
417,14148,18170442,07:27.5,47990,L7
418,19670,18170442,34:31.5,34608,L14
419,18569,18170442,45:23.6,58097,L7
420,20264,18170442,52:57.6,66062,L16
421,18823,18170442,24:41.4,72355,L14
422,15402,18170442,51:48.5,21158,L12
423,20878,18170442,22:18.3,66455,L12
424,14033,18170442,04:36.6,39128,L9
425,18025,18170442,47:31.0,83875,L14
426,21954,18170442,33:21.2,76361,L11
427,13127,18170442,08:15.6,65965,L13
428,21340,18172063,56:23.4,81644,L6
429,14882,18172063,59:34.8,57454,L11
430,17443,18172063,24:21.8,1676,L12
431,10775,18172063,07:26.1,46044,L10
432,13273,18172063,27:14.8,60835,L16
433,17042,18172063,45:57.9,62115,L13
434,18340,18172063,03:52.4,12618,L16
435,15044,18172063,59:39.2,64089,L1
436,10464,18172063,28:21.8,89624,L10
437,12409,18172063,07:52.4,45821,L16
438,16187,18172423,49:57.3,23933,L12
439,12570,18172423,28:05.1,36753,L5
440,11523,18172423,01:32.5,21700,L8
441,13461,18172423,57:52.7,37633,L15
442,16179,18172423,13:03.3,75387,L9
443,18111,18172423,31:56.4,81682,L1
444,15483,18172423,39:03.1,66173,L8
445,13077,18172423,20:54.2,39690,L15
446,21559,18172423,48:55.8,45589,L11
447,11923,18172423,51:30.1,60748,L17
448,16780,18172423,51:02.6,78201,L8
449,19273,18172423,48:01.1,13988,L11
450,20181,18172423,31:49.0,8671,L13
451,21603,18172423,12:47.2,45146,L12
452,16467,18173422,10:39.3,8583,L12
453,13023,18173422,07:43.1,57463,L9
454,18274,18173422,57:00.9,67552,L4
455,21898,18173422,34:07.8,64114,L4
456,13961,18173422,37:36.2,4095,L12
457,16166,18173422,19:18.8,13392,L15
458,22151,18173422,13:18.5,84925,L4
459,19578,18173422,00:06.7,7194,L14
460,14213,18173422,43:59.6,7899,L15
461,17018,18173659,10:16.7,37542,L6
462,21549,18173659,20:03.9,56137,L13
463,18500,18173659,22:42.8,38238,L16
464,11416,18173659,03:58.8,52151,L12
465,19467,18173659,58:31.0,79957,L7
466,16029,18173659,07:31.4,55754,L10
467,15520,18173659,45:51.4,20386,L15
468,21586,18173659,20:48.7,72094,L1
469,19419,18173659,50:18.4,41356,L6
470,16258,18173659,25:15.9,53805,L12
471,16399,18173659,49:56.7,12728,L11
472,21630,18173659,50:54.4,63629,L12
473,20892,18173659,13:55.1,56636,L8
474,21775,18173659,57:50.0,75031,L1
475,15055,18173659,29:27.7,3231,L9
476,14753,18173659,16:44.9,38340,L2
477,10672,18173659,47:59.4,49111,L9
478,10670,18173659,00:45.1,6432,L5
479,22171,18173659,21:49.9,54818,L4
480,17699,18173659,56:07.6,18530,L4
481,16734,18173659,32:35.9,73742,L7
482,18332,18173659,03:46.0,35808,L15
483,18986,18173659,26:32.0,45087,L3
484,12496,18179408,18:35.8,21969,L11
485,14370,18179408,09:09.7,6253,L10
486,10274,18179408,03:16.4,42306,L12
487,10153,18179408,23:53.4,9410,L13
488,15078,18179408,26:32.9,33409,L8
489,15191,18179408,57:49.7,3154,L10
490,15309,18179408,43:17.2,10786,L7
491,14647,18179408,42:35.9,75392,L7
492,10369,18179408,53:00.6,14976,L1
493,21427,18183589,23:08.9,59120,L16
494,21334,18183589,43:48.8,19821,L4
495,15146,18183589,59:41.0,39865,L17
496,21390,18183589,37:07.2,81965,L11
497,15508,18183589,20:29.7,30181,L2
498,10900,18183589,54:28.4,12192,L13
499,20316,18183589,40:54.9,78760,L9
500,17240,18183589,58:09.1,8671,L13
501,15279,18183589,23:51.0,69739,L10
502,15183,18183589,12:25.2,77275,L14
503,19039,18183589,12:04.4,19761,L2
504,17825,18183589,53:30.4,68794,L1
505,19785,18183589,42:45.3,33005,L14
506,12228,18183589,56:42.1,60984,L17
507,21193,18188317,21:51.0,29768,L14
508,15534,18188317,12:42.5,53437,L7
509,21124,18188317,21:37.9,49362,L5
510,11821,18188317,53:37.4,2501,L11
511,19609,18188317,07:40.4,78268,L17
512,19844,18188317,26:21.2,38298,L7
513,10521,18188317,56:16.1,72233,L13
514,14165,18188317,07:29.9,68550,L15
515,13725,18188317,46:33.6,75956,L10
516,15756,18188317,15:09.4,40031,L12
517,20470,18188317,58:14.3,51505,L13
518,14547,18188317,54:28.4,57590,L10
519,13692,18188317,50:05.8,37649,L17
520,12477,18188317,45:01.4,23188,L8
521,20683,18188317,21:05.7,25326,L2
522,11719,18188317,13:39.0,19120,L12
523,10630,18188317,21:23.8,5238,L6
524,12924,18188317,23:14.5,87911,L6
525,13766,18191784,39:45.9,11973,L1
526,17796,18191784,35:40.6,76688,L11
527,14496,18191784,52:19.6,21447,L17
528,10697,18191784,33:44.7,8908,L6
529,12019,18191784,01:22.0,62677,L12
530,15141,18191784,47:39.7,55307,L3
531,18838,18191784,17:00.7,17607,L15
532,11633,18191784,32:41.4,57470,L4
533,18839,18191784,01:00.6,47088,L10
534,17122,18191784,32:42.3,40885,L2
535,14036,18191784,04:53.9,52029,L1
536,14031,18191784,08:39.0,78548,L6
537,20688,18191784,39:07.2,62833,L2
538,18628,18191784,57:10.5,34853,L6
539,19547,18191784,49:30.1,82657,L7
540,19993,18191784,58:26.6,79902,L6
541,16483,18206999,29:12.7,56606,L14
542,18060,18206999,55:10.2,40445,L11
543,14271,18206999,30:12.4,29353,L2
544,12757,18206999,31:13.0,19289,L12
545,18296,18206999,36:30.6,71038,L7
546,15439,18206999,39:47.9,77119,L9
547,13185,18206999,29:15.1,82557,L4
548,17281,18206999,11:22.6,4487,L11
549,10574,18206999,49:51.2,15527,L3
550,20007,18206999,58:09.6,37036,L2
551,13702,18206999,28:33.5,34572,L7
552,12639,18206999,30:45.5,70869,L12
553,11818,18206999,40:10.7,39410,L10
554,20146,18206999,44:29.8,8906,L6
555,11277,18206999,25:04.8,38384,L13
556,20785,18206999,26:47.3,59330,L12
557,19048,18206999,20:37.3,63667,L13
558,18799,18209448,44:40.9,16684,L10
559,19498,18209448,05:27.0,66248,L15
560,14956,18209448,03:28.1,57344,L15
561,11378,18209448,55:51.2,26953,L17
562,21799,18209448,59:56.5,81644,L17
563,21951,18209448,59:10.2,54138,L10
564,15695,18209448,09:36.0,10713,L7
565,10044,18209448,45:59.3,83545,L2
566,15553,18209448,18:18.8,11209,L3
567,12220,18209448,03:44.8,14893,L2
568,21633,18209448,13:26.1,46391,L5
569,15652,18209448,11:44.8,56322,L10
570,16693,18209448,03:15.5,18077,L14
571,14691,18209448,06:15.0,9120,L15
572,11863,18209448,53:27.5,28264,L8
573,19828,18229540,49:02.6,76886,L13
574,10811,18229540,25:11.0,70987,L13
575,18595,18229540,06:07.1,37973,L10
576,13724,18229540,55:31.6,18686,L5
577,18447,18229540,13:56.0,7325,L14
578,14871,18229540,20:08.9,34623,L4
579,18979,18229540,22:43.7,36480,L2
580,18727,18229540,05:09.1,49555,L6
581,19420,18229540,15:10.9,55145,L16
582,12507,18229540,50:45.3,75740,L7
583,10168,18229540,44:11.6,4289,L10
584,14715,18229540,32:40.8,34491,L11
585,10750,18233221,46:10.5,9741,L8
586,15153,18233221,02:38.9,81391,L12
587,10977,18233221,47:38.9,26851,L8
588,14814,18233221,48:17.2,49889,L17
589,16357,18233221,29:01.0,61968,L13
590,11503,18233221,54:11.1,48477,L16
591,17959,18233221,38:08.4,14902,L8
592,13031,18233221,32:20.4,11721,L17
593,19855,18233221,31:26.5,52094,L12
594,15949,18233221,49:53.2,20125,L6
595,18778,18233221,56:57.4,48328,L16
596,10169,18233221,23:21.2,21681,L13
597,19589,18233221,23:12.1,79078,L5
598,11860,18233221,32:11.9,64427,L1
599,19742,18233221,11:46.0,71707,L10
600,11873,18249741,41:02.2,67454,L9
601,18423,18249741,46:04.6,63714,L17
602,18071,18249741,33:32.7,51003,L5
603,13338,18249741,47:14.0,50006,L15
604,18270,18249741,12:39.9,83357,L14
605,17401,18249741,04:58.9,26251,L5
606,13505,18249741,57:20.2,53161,L13
607,10852,18249741,27:35.8,79624,L14
608,13425,18249741,52:06.4,32975,L11
609,17600,18249741,41:24.5,69703,L13
610,18892,18249741,35:35.6,79821,L5
611,13917,18260597,32:47.9,39548,L10
612,14751,18260597,52:13.7,21317,L12
613,17215,18260597,41:14.0,35958,L12
614,16574,18260597,56:49.4,45606,L2
615,17615,18260597,17:47.8,16492,L3
616,21760,18260597,46:09.9,56447,L8
617,19526,18260597,07:16.7,49904,L5
618,21962,18260597,12:01.5,47512,L6
619,14437,18260597,04:36.6,66663,L4
620,22073,18260597,39:05.8,84881,L13
621,18546,18260597,45:13.7,72714,L17
622,14597,18260597,13:46.6,21268,L3
623,14945,18260597,46:56.4,32040,L9
624,18607,18260597,13:41.9,79521,L16
625,15709,18260597,07:51.8,34304,L12
626,14348,18260597,26:30.6,15838,L12
627,16722,18260597,10:17.9,34551,L10
628,21046,18260597,32:12.4,4306,L10
629,10218,18260597,29:52.8,85387,L7
630,17347,18260597,09:54.8,19996,L12
631,21477,18260597,59:00.3,21627,L7
632,10438,18265067,12:45.4,66436,L7
633,14902,18265067,57:44.5,49484,L13
634,18102,18265067,39:30.0,23702,L2
635,20272,18265067,45:15.4,27970,L8
636,18761,18265067,51:37.1,57125,L1
637,21236,18265067,11:45.7,15114,L14
638,20936,18265067,02:39.8,80087,L12
639,19408,18265067,30:51.1,84809,L7
640,19821,18265067,12:47.8,14222,L3
641,15631,18265067,55:33.9,48485,L13
642,20523,18265067,50:07.3,65319,L15
643,12211,18265067,47:29.2,61476,L2
644,13881,18265067,32:07.5,39616,L10
645,14699,18265067,01:11.1,40941,L1
646,13258,18265067,12:52.5,70592,L13
647,21354,18267123,21:30.0,7664,L16
648,17587,18267123,30:00.7,85357,L6
649,18094,18267123,28:20.9,52241,L8
650,12936,18267123,42:35.9,39435,L2
651,19680,18267123,29:44.0,31759,L13
652,12115,18267123,00:05.3,37809,L4
653,17577,18267123,04:58.9,1617,L14
654,17140,18267123,14:10.3,57705,L5
655,10537,18267123,12:10.9,40064,L7
656,17430,18267123,09:35.5,30030,L15
657,16451,18267123,37:14.8,63515,L12
658,20589,18282864,11:03.9,37918,L6
659,18351,18282864,17:23.2,7666,L1
660,16803,18282864,53:54.1,46139,L12
661,13662,18282864,33:46.4,18254,L2
662,17052,18282864,10:03.3,33977,L10
663,20740,18282864,22:28.2,86732,L9
