pago_id;run_socio_titular;nombre_socio_titular;anio_membresia;mes_cuota;fecha_vencimiento;monto_membresia;monto_adicionales;monto_total;estado_pago;fecha_pago;medio_pago
93;22997716-4;"natalia duarte nunez";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
94;22997716-4;"natalia duarte nunez";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
95;22997716-4;"natalia duarte nunez";2025;11;2025-11-05;25000;0;25000;atrasado;;
96;22997716-4;"natalia duarte nunez";2025;12;2025-12-05;25000;5000;30000;atrasado;;
97;15182198-7;"patricia duarte espinoza";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
98;15182198-7;"patricia duarte espinoza";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
99;15182198-7;"patricia duarte espinoza";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
100;15182198-7;"patricia duarte espinoza";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
101;15182198-7;"patricia duarte espinoza";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
102;15182198-7;"patricia duarte espinoza";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
103;15182198-7;"patricia duarte espinoza";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
104;15182198-7;"patricia duarte espinoza";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
105;15182198-7;"patricia duarte espinoza";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
106;15182198-7;"patricia duarte espinoza";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
107;15182198-7;"patricia duarte espinoza";2025;11;2025-11-05;25000;0;25000;atrasado;;
108;15182198-7;"patricia duarte espinoza";2025;12;2025-12-05;25000;5000;30000;atrasado;;
109;9848362-5;"ignacio quezada henriquez";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
110;9848362-5;"ignacio quezada henriquez";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
111;9848362-5;"ignacio quezada henriquez";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
112;9848362-5;"ignacio quezada henriquez";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
113;9848362-5;"ignacio quezada henriquez";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
114;9848362-5;"ignacio quezada henriquez";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
115;9848362-5;"ignacio quezada henriquez";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
116;9848362-5;"ignacio quezada henriquez";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
117;9848362-5;"ignacio quezada henriquez";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
118;9848362-5;"ignacio quezada henriquez";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
119;9848362-5;"ignacio quezada henriquez";2025;11;2025-11-05;25000;0;25000;atrasado;;
120;9848362-5;"ignacio quezada henriquez";2025;12;2025-12-05;25000;5000;30000;atrasado;;
121;17608709-0;"helena jara duarte";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
122;17608709-0;"helena jara duarte";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
123;17608709-0;"helena jara duarte";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
124;17608709-0;"helena jara duarte";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
125;17608709-0;"sofia silva";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
126;17608709-0;"helena jara duarte";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
127;17608709-0;"helena jara duarte";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
128;17608709-0;"helena jara duarte";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
129;17608709-0;"helena jara duarte";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
130;17608709-0;"helena jara duarte";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
131;17608709-0;"helena jara duarte";2025;11;2025-11-05;25000;0;25000;atrasado;;
132;17608709-0;"helena jara duarte";2025;12;2025-12-05;25000;5000;30000;atrasado;;
133;16804818-1;"loreto alvarez mendez";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
134;16804818-1;"loreto alvarez mendez";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
135;16804818-1;"loreto alvarez mendez";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
136;16804818-1;"loreto alvarez mendez";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
137;16804818-1;"loreto alvarez mendez";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
138;16804818-1;"loreto alvarez mendez";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
139;16804818-1;"loreto alvarez mendez";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
140;16804818-1;"loreto alvarez mendez";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
141;16804818-1;"loreto alvarez mendez";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
142;16804818-1;"loreto alvarez mendez";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
143;16804818-1;"loreto alvarez mendez";2025;11;2025-11-05;25000;0;25000;atrasado;;
144;16804818-1;"loreto alvarez mendez";2025;12;2025-12-05;25000;5000;30000;atrasado;;
145;5058856-4;"beatriz alvarez lagos";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
146;5058856-4;"beatriz alvarez lagos";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
147;5058856-4;"beatriz alvarez lagos";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
148;5058856-4;"beatriz alvarez lagos";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
149;5058856-4;"beatriz alvarez lagos";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
150;5058856-4;"beatriz alvarez lagos";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
151;5058856-4;"beatriz alvarez lagos";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
152;5058856-4;"beatriz alvarez lagos";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
153;5058856-4;"beatriz alvarez lagos";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
154;5058856-4;"beatriz alvarez lagos";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
155;5058856-4;"beatriz alvarez lagos";2025;11;2025-11-05;25000;0;25000;atrasado;;
156;5058856-4;"beatriz alvarez lagos";2025;12;2025-12-05;25000;5000;30000;atrasado;;
157;12170069-7;"oscar contreras lagos";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
158;12170069-7;"oscar contreras lagos";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
159;12170069-7;"oscar contreras lagos";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
160;12170069-7;"oscar contreras lagos";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
161;12170069-7;"oscar contreras lagos";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
162;12170069-7;"oscar contreras lagos";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
163;12170069-7;"oscar contreras lagos";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
164;12170069-7;"oscar contreras lagos";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
165;12170069-7;"oscar contreras lagos";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
166;12170069-7;"oscar contreras lagos";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
167;12170069-7;"oscar contreras lagos";2025;11;2025-11-05;25000;0;25000;atrasado;;
168;12170069-7;"oscar contreras lagos";2025;12;2025-12-05;25000;5000;30000;atrasado;;
169;24692054-0;"loreto duarte quezada";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
170;24692054-0;"loreto duarte quezada";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
171;24692054-0;"loreto duarte quezada";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
172;24692054-0;"loreto duarte quezada";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
173;24692054-0;"loreto duarte quezada";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
174;24692054-0;"loreto duarte quezada";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
175;24692054-0;"loreto duarte quezada";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
176;24692054-0;"loreto duarte quezada";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
177;24692054-0;"loreto duarte quezada";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
178;24692054-0;"loreto duarte quezada";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
179;24692054-0;"loreto duarte quezada";2025;11;2025-11-05;25000;0;25000;atrasado;;
180;24692054-0;"loreto duarte quezada";2025;12;2025-12-05;25000;5000;30000;atrasado;;
181;17862474-9;"patricia barrera pardo";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
182;17862474-9;"patricia barrera pardo";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
183;17862474-9;"patricia barrera pardo";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
184;17862474-9;"patricia barrera pardo";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
185;17862474-9;"patricia barrera pardo";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
186;17862474-9;"patricia barrera pardo";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
187;17862474-9;"patricia barrera pardo";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
188;17862474-9;"patricia barrera pardo";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
189;17862474-9;"patricia barrera pardo";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
190;17862474-9;"patricia barrera pardo";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
191;17862474-9;"patricia barrera pardo";2025;11;2025-11-05;25000;0;25000;atrasado;;
192;17862474-9;"patricia barrera pardo";2025;12;2025-12-05;25000;5000;30000;atrasado;;
193;16701421-6;"felicia henriquez nunez";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
194;16701421-6;"felicia henriquez nunez";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
195;16701421-6;"felicia henriquez nunez";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
196;16701421-6;"felicia henriquez nunez";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
197;16701421-6;"felicia henriquez nunez";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
198;16701421-6;"felicia henriquez nunez";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
199;16701421-6;"felicia henriquez nunez";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
200;16701421-6;"felicia henriquez nunez";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
201;16701421-6;"felicia henriquez nunez";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
202;16701421-6;"felicia henriquez nunez";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
203;16701421-6;"felicia henriquez nunez";2025;11;2025-11-05;25000;0;25000;atrasado;;
204;16701421-6;"felicia henriquez nunez";2025;12;2025-12-05;25000;5000;30000;atrasado;;
205;22924363-2;"beatriz jara ortiz";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
206;22924363-2;"beatriz jara ortiz";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
207;22924363-2;"beatriz jara ortiz";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
208;22924363-2;"beatriz jara ortiz";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
209;22924363-2;"beatriz jara ortiz";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
210;22924363-2;"beatriz jara ortiz";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
211;22924363-2;"beatriz jara ortiz";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
212;22924363-2;"beatriz jara ortiz";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
213;22924363-2;"beatriz jara ortiz";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
214;22924363-2;"beatriz jara ortiz";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
215;22924363-2;"beatriz jara ortiz";2025;11;2025-11-05;25000;0;25000;atrasado;;
216;22924363-2;"beatriz jara ortiz";2025;12;2025-12-05;25000;5000;30000;atrasado;;
217;12620839-1;"patricia quezada iturra";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
218;12620839-1;"patricia quezada iturra";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
219;12620839-1;"patricia quezada iturra";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
220;12620839-1;"patricia quezada iturra";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
221;12620839-1;"patricia quezada iturra";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
222;12620839-1;"patricia quezada iturra";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
223;12620839-1;"patricia quezada iturra";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
224;12620839-1;"patricia quezada iturra";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
225;12620839-1;"patricia quezada iturra";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
226;12620839-1;"patricia quezada iturra";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
227;12620839-1;"patricia quezada iturra";2025;11;2025-11-05;25000;0;25000;atrasado;;
228;12620839-1;"patricia quezada iturra";2025;12;2025-12-05;25000;5000;30000;atrasado;;
229;5093909-9;"javiera barrera duarte";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
230;5093909-9;"javiera barrera duarte";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
231;5093909-9;"javiera barrera duarte";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
232;5093909-9;"javiera barrera duarte";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
233;5093909-9;"javiera barrera duarte";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
234;5093909-9;"javiera barrera duarte";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
235;5093909-9;"javiera barrera duarte";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
236;5093909-9;"javiera barrera duarte";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
237;5093909-9;"javiera barrera duarte";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
238;5093909-9;"javiera barrera duarte";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
239;5093909-9;"javiera barrera duarte";2025;11;2025-11-05;25000;0;25000;atrasado;;
240;5093909-9;"ana contreras";2025;12;2025-12-05;25000;5000;30000;atrasado;;
241;19556227-9;"mauricio fuentes contreras";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
242;19556227-9;"mauricio fuentes contreras";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
243;19556227-9;"mauricio fuentes contreras";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
244;19556227-9;"mauricio fuentes contreras";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
245;19556227-9;"mauricio fuentes contreras";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
246;19556227-9;"mauricio fuentes contreras";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
247;19556227-9;"mauricio fuentes contreras";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
248;19556227-9;"mauricio fuentes contreras";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
249;19556227-9;"mauricio fuentes contreras";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
