evento_id;nombre_evento;fecha_contratación;fecha_evento;lugar_nombre;sucursal_nombre;tipo_cliente;run_cliente;nombre_cliente;rut_contacto_empresa;nombre_contacto_empresa;cargo_contacto;lista_asistentes;monto_total_evento;monto_pagado_reserva;monto_pagado_ejecucion
13;"presentacion cultural";2025-12-12;2026-02-21;saloneventos2;"la florida";empresa;76000006-k;"sur spa";21822737-6;"filomena mondaca calderon";curador;"juan perez;sofia mendez;juan gonzalez;juan lagos;ana rojas;juan lagos;juan vidal;diego contreras;antonella mendez;pablo contreras;diego tapia;sofia contreras;camila tapia;camila gonzalez;diego gonzalez;elena iturra;ana silva;pablo perez;ana contreras;camila lagos;luis vidal;maria lagos;juan iturra;antonella gonzalez;antonella gonzalez;lucas perez;ana tapia;ana perez;camila perez;elena vidal;juan lagos;pedro tapia;sofia gonzalez;elena gonzalez;antonella lagos;juan iturra;juan vidal;juan tapia;diego iturra;ana tapia;maria tapia;lucas iturra;luis iturra;camila mendez;elena tapia";8900000;4450000;4450000
14;"cena beneficencia";2025-10-10;2026-02-28;saloneventos2;providencia;empresa;76000007-8;"litoral spa";17837515-6;"eulogio calderon arancibia";presidente;"lucas iturra;ana rojas;diego contreras;pablo silva;pablo contreras;pedro lagos;pablo vidal;luis mendez;luis silva;pablo lagos;antonella rojas;ana rojas;juan lagos;ana perez;maria silva;antonella iturra;elena perez;luis tapia;diego lagos;diego gonzalez;pedro tapia;pedro silva;juan tapia;camila iturra;antonella tapia;diego rojas;ana tapia;camila lagos;juan lagos;antonella lagos;antonella lagos;lucas iturra;sofia silva;juan contreras;maria perez;pablo iturra;luis tapia;elena tapia;ana tapia;sofia mendez;pablo gonzalez;camila rojas;sofia vidal;maria tapia;juan perez";20600000;10300000;10300000
15;"fiesta cumpleanos";2025-08-19;2026-02-16;saloneventos1;"la florida";persona;18494487-1;"demetria ubilla estay";;;productor;"antonella mendez;sofia lagos;elena mendez;pedro vidal;ana gonzalez;juan mendez;maria iturra;maria mendez;juan perez;pedro gonzalez;lucas vidal;lucas contreras;maria tapia;pedro silva;sofia iturra;diego contreras;pedro lagos;lucas gonzalez;diego gonzalez;juan contreras;maria gonzalez;pablo iturra;maria lagos;luis contreras;luis vidal;antonella mendez;antonella iturra;pablo mendez;maria silva;antonella perez;pablo perez;antonella rojas;camila silva;juan rojas;juan tapia;ana lagos;ana rojas;ana vidal;antonella perez;maria tapia;diego perez;antonella lagos;ana mendez;maria gonzalez;pedro lagos";7400000;3700000;3700000
16;"almuerzo ejecutivo";2025-12-02;2026-02-23;saloneventos1;"la florida";empresa;76000008-6;"aconcagua spa";13217974-3;"aurelio arancibia mondaca";"socio principal";"ana tapia;elena gonzalez;camila perez;luis gonzalez;juan silva;ana gonzalez;diego perez;diego mendez;juan contreras;lucas tapia;maria mendez;lucas contreras;maria perez;maria silva;diego mendez;luis tapia;antonella contreras;lucas tapia;elena vidal;elena perez;diego mendez;sofia mendez;lucas perez;maria mendez;lucas iturra;maria silva;antonella rojas;pablo lagos;antonella perez;diego iturra;pablo vidal;lucas silva;pedro iturra;antonella contreras;juan silva;pedro tapia;sofia gonzalez;maria iturra;camila silva;pedro tapia;luis tapia;maria perez;antonella tapia;antonella rojas;lucas lagos";5800000;2900000;2900000
17;"congreso medico";2025-11-16;2026-02-17;saloneventos4;"santiago centro";empresa;76000009-4;"austral spa";13870839-k;"herminda calderon arancibia";"director medico";"lucas silva;luis lagos;sofia perez;sofia iturra;sofia contreras;ana lagos;juan perez;maria mendez;ana perez;camila lagos;pablo iturra;pedro mendez;sofia contreras;juan rojas;ana lagos;lucas gonzalez;pablo iturra;camila lagos;camila mendez;camila iturra;diego iturra;ana perez;juan gonzalez;elena contreras;juan silva;pablo gonzalez;maria vidal;juan rojas;luis perez;antonella silva;juan rojas;ana silva;ana contreras;pablo contreras;luis mendez;ana vidal;antonella vidal;luis rojas;luis gonzalez;maria lagos;lucas tapia;lucas contreras;ana contreras;ana iturra;antonella perez";29500000;14750000;14750000
19;"workshop fotografia";2025-09-27;2026-02-08;saloneventos3;"santa cruz";empresa;76000010-8;"cumbre spa";15446190-6;"demetria olavarria calderon";editor;"diego tapia;pablo tapia;lucas lagos;luis perez;elena perez;diego rojas;luis mendez;antonella tapia;sofia perez;luis rojas;antonella perez;pablo lagos;elena contreras;antonella lagos;diego vidal;luis rojas;luis mendez;antonella iturra;sofia tapia;luis gonzalez;elena perez;diego tapia;sofia rojas;luis contreras;lucas iturra;pablo contreras;pedro perez;ana iturra;luis silva;antonella contreras;ana tapia;diego vidal;juan vidal;ana gonzalez;lucas lagos;luis contreras;ana contreras;ana mendez;luis rojas;luis gonzalez;maria iturra;lucas lagos;luis perez;sofia contreras;camila contreras";11900000;5950000;5950000
20;"showroom moda";2026-02-07;2026-02-22;saloneventos1;providencia;empresa;76000011-6;"valle spa";16273121-1;"gumersindo olavarria mondaca";manager;"elena lagos;diego rojas;camila rojas;luis vidal;juan lagos;juan mendez;pedro iturra;antonella rojas;ana rojas;luis tapia;pedro mendez;antonella contreras;juan silva;maria vidal;pedro vidal;lucas vidal;sofia rojas;pablo silva;ana iturra;maria rojas;pablo lagos;pedro tapia;diego iturra;camila gonzalez;elena gonzalez;antonella lagos;lucas gonzalez;camila silva;maria mendez;camila gonzalez;ana iturra;antonella silva;maria silva;pablo perez;lucas gonzalez;ana tapia;camila perez;antonella lagos;juan mendez;juan gonzalez;elena gonzalez;pablo vidal;diego vidal;pedro silva;pablo contreras";21400000;10700000;10700000
21;"capacitacion ventas";2025-10-11;2026-02-19;saloneventos1;"la florida";empresa;76000012-4;"rio spa";15283451-9;"gumersindo ubilla estay";"jefe ventas";"camila gonzalez;sofia lagos;ana tapia;camila gonzalez;diego tapia;antonella tapia;pablo lagos;elena contreras;pablo rojas;pedro lagos;sofia tapia;antonella tapia;antonella tapia;sofia tapia;camila iturra;ana tapia;sofia perez;pablo vidal;pablo iturra;antonella rojas;maria silva;diego gonzalez;camila silva;lucas mendez;antonella mendez;maria vidal;lucas silva;diego tapia;maria rojas;maria lagos;maria perez;pedro iturra;luis tapia;lucas gonzalez;juan gonzalez;camila gonzalez;lucas perez;sofia iturra;juan rojas;maria gonzalez;lucas tapia;pablo contreras;antonella mendez;sofia lagos;lucas silva";9300000;4650000;4650000
23;"graduacion escolar";2025-11-17;2026-02-04;saloneventos2;providencia;empresa;76000013-2;"bosque spa";11809279-1;"casimiro arancibia duarte";coordinador;"pablo gonzalez;ana lagos;ana mendez;diego perez;maria gonzalez;sofia iturra;lucas iturra;antonella mendez;juan contreras;camila contreras;maria perez;pedro perez;ana mendez;pablo rojas;lucas vidal;elena contreras;elena contreras;lucas perez;diego lagos;antonella mendez;luis silva;juan gonzalez;sofia tapia;lucas perez;elena contreras;pablo mendez;pablo iturra;sofia silva;juan silva;luis mendez;diego tapia;luis mendez;lucas vidal;camila vidal;luis rojas;luis contreras;sofia tapia;elena iturra;luis iturra;juan tapia;luis mendez;lucas vidal;pedro perez;pedro tapia;pablo mendez";13200000;6600000;6600000
24;"exposicion de arte";2025-11-03;2026-02-10;saloneventos4;"santiago centro";empresa;76000014-0;"altos spa";19000184-9;"eulogio estay arancibia";director;"elena contreras;camila mendez;antonella perez;camila vidal;sofia iturra;elena perez;antonella mendez;camila tapia;pablo contreras;luis vidal;camila silva;lucas mendez;antonella vidal;juan iturra;maria rojas;ana silva;elena lagos;maria mendez;maria contreras;diego perez;lucas vidal;diego tapia;juan mendez;ana vidal;pedro perez;elena mendez;elena contreras;pablo iturra;elena iturra;maria contreras;sofia vidal;lucas gonzalez;maria mendez;diego iturra;camila mendez;juan contreras;camila lagos;lucas contreras;sofia gonzalez;pablo lagos;elena silva;juan vidal;luis silva;maria silva;camila lagos";17900000;8950000;8950000
25;"desayuno de negocios";2025-12-14;2026-02-27;saloneventos1;providencia;empresa;76000015-9;"nova spa";12369957-2;"casimiro ubilla duarte";socio;"juan silva;luis silva;luis contreras;sofia silva;luis mendez;luis silva;camila mendez;ana lagos;juan tapia;antonella mendez;luis gonzalez;lucas contreras;lucas gonzalez;antonella perez;camila rojas;lucas contreras;diego lagos;lucas vidal;sofia rojas;camila gonzalez;pablo vidal;diego vidal;diego silva;pablo mendez;lucas mendez;luis rojas;pablo silva;ana iturra;pedro silva;maria silva;pedro silva;diego mendez;ana rojas;antonella mendez;sofia lagos;sofia vidal;camila lagos;pedro iturra;luis vidal;ana iturra;sofia tapia;ana iturra;pablo vidal;sofia perez;antonella mendez";6400000;3200000;3200000
26;"fiesta de disfraces";2025-08-30;2026-02-18;saloneventos3;"santiago centro";empresa;76000016-7;"prisma spa";10556031-1;"gumersindo olavarria arancibia";productor;"camila rojas;pedro lagos;diego rojas;antonella gonzalez;lucas iturra;antonella lagos;pedro contreras;juan lagos;lucas iturra;camila silva;sofia vidal;ana iturra;juan vidal;ana mendez;sofia vidal;lucas rojas;camila gonzalez;camila lagos;pedro gonzalez;luis mendez;elena iturra;camila rojas;elena tapia;ana perez;elena perez;maria gonzalez;maria perez;diego lagos;luis silva;ana mendez;elena rojas;sofia mendez;pablo rojas;juan iturra;lucas silva;pedro rojas;lucas vidal;sofia vidal;maria vidal;elena rojas;antonella silva;antonella silva;antonella rojas;lucas lagos;elena iturra";14100000;7050000;7050000
27;"encuentro deportivo";2025-10-06;2026-02-10;saloneventos1;"santiago centro";empresa;76000017-5;"vertice spa";23516865-0;"bernarda duarte benavides";capitan;"pablo contreras;lucas lagos;diego silva;pedro lagos;ana iturra;lucas mendez;antonella lagos;juan rojas;camila lagos;ana iturra;maria silva;juan tapia;ana silva;maria iturra;elena lagos;luis vidal;lucas vidal;camila vidal;juan perez;sofia vidal;antonella mendez;diego contreras;antonella silva;maria lagos;luis mendez;luis rojas;lucas lagos;juan contreras;pedro gonzalez;pablo mendez;luis lagos;luis silva;camila iturra;pedro tapia;diego silva;antonella contreras;antonella mendez;camila iturra;maria silva;pablo mendez;luis rojas;elena tapia;ana gonzalez;sofia tapia;juan tapia";8200000;4100000;4100000
28;"charla motivacional";2025-12-19;2026-02-20;saloneventos1;providencia;empresa;76000018-3;"horizonte spa";15505897-8;"filomena olavarria olavarria";speaker;"ana iturra;pablo gonzalez;lucas perez;sofia tapia;pedro contreras;pedro iturra;camila tapia;juan silva;diego mendez;sofia lagos;maria gonzalez;pablo rojas;lucas contreras;pablo gonzalez;antonella rojas;lucas rojas;pablo silva;diego rojas;maria gonzalez;camila vidal;ana gonzalez;camila vidal;lucas rojas;elena lagos;lucas iturra;camila iturra;pablo iturra;pedro iturra;juan perez;pedro mendez;lucas gonzalez;antonella gonzalez;pedro gonzalez;camila tapia;juan vidal;diego lagos;antonella mendez;sofia iturra;sofia iturra;pablo contreras;diego tapia;maria lagos;pedro contreras;luis gonzalez;lucas contreras";10700000;5350000;5350000
29;"lanzamiento editorial";2025-10-06;2026-02-26;saloneventos3;providencia;empresa;76000019-1;"punto spa";19846911-4;"filomena ubilla calderon";"editor jefe";"diego rojas;juan vidal;pablo rojas;elena vidal;luis contreras;pablo gonzalez;lucas contreras;sofia lagos;diego vidal;pablo perez;pedro contreras;juan gonzalez;pedro iturra;pablo vidal;lucas perez;pablo contreras;diego rojas;maria gonzalez;sofia perez;pablo lagos;antonella gonzalez;sofia mendez;juan gonzalez;maria contreras;diego rojas;maria perez;pablo rojas;elena vidal;antonella tapia;antonella lagos;pablo tapia;sofia rojas;pedro silva;juan mendez;antonella iturra;diego contreras;antonella contreras;camila vidal;pedro contreras;ana rojas;elena tapia;camila vidal;antonella vidal;ana rojas;pedro rojas";9500000;4750000;4750000
30;"cena navidad";2026-01-13;2026-02-10;saloneventos1;"santiago centro";empresa;76000020-5;"andes ltda.";22838731-2;"eulogio ubilla mondaca";gerente;"antonella contreras;juan silva;maria lagos;maria iturra;antonella rojas;juan rojas;antonella mendez;sofia iturra;pedro contreras;camila rojas;ana gonzalez;antonella vidal;camila iturra;juan lagos;antonella lagos;lucas iturra;juan perez;elena lagos;elena silva;elena vidal;ana perez;luis lagos;juan silva;juan gonzalez;sofia contreras;camila lagos;pablo gonzalez;pablo perez;camila perez;camila perez;pablo perez;diego lagos;juan rojas;pedro silva;camila lagos;pablo lagos;pedro rojas;antonella mendez;camila mendez;pedro iturra;camila lagos;pablo tapia;antonella lagos;lucas contreras;antonella lagos";19800000;9900000;9900000
33;"taller de cocina";2025-08-18;2026-02-16;saloneventos3;"santiago centro";persona;20166040-8;"herminda olavarria olavarria";;;instructor;"elena iturra;luis gonzalez;pablo contreras;diego perez;camila silva;maria iturra;luis tapia;juan gonzalez;antonella perez;juan rojas;camila gonzalez;pablo rojas;elena perez;luis silva;luis gonzalez;luis gonzalez;diego mendez;lucas contreras;maria iturra;pablo vidal;luis gonzalez;sofia iturra;maria vidal;antonella tapia;pablo contreras;pablo vidal;ana gonzalez;ana lagos;camila perez;pedro silva;sofia contreras;elena tapia;pedro contreras;juan rojas;luis gonzalez;pablo contreras;pedro contreras;juan rojas;maria contreras;luis lagos;diego tapia;maria gonzalez;maria iturra;elena tapia;luis contreras";8100000;4050000;4050000
36;"desfile de mascotas";2025-10-05;2026-02-11;saloneventos4;providencia;empresa;76000021-3;"pacifico ltda.";19526957-2;"filomena calderon arancibia";manager;"luis vidal;pedro tapia;pablo silva;antonella perez;ana vidal;diego vidal;elena mendez;pedro contreras;pedro vidal;pablo iturra;diego contreras;lucas perez;pablo iturra;elena mendez;luis iturra;antonella rojas;antonella rojas;sofia rojas;maria mendez;juan iturra;sofia tapia;lucas iturra;lucas tapia;pedro lagos;elena silva;camila perez;lucas lagos;pedro mendez;pablo lagos;diego silva;antonella contreras;pedro vidal;luis iturra;elena perez;lucas vidal;pablo contreras;ana tapia;pablo contreras;luis tapia;pablo silva;antonella rojas;elena contreras;juan gonzalez;lucas vidal;diego silva";7800000;3900000;3900000
38;"simposio tecnologia";2025-09-29;2026-02-02;saloneventos1;providencia;empresa;76000022-1;"patagonia ltda.";18990493-2;"casimiro estay mondaca";analista;"juan gonzalez;antonella mendez;camila gonzalez;pedro contreras;juan lagos;pedro contreras;pablo iturra;diego tapia;lucas contreras;pedro contreras;juan vidal;antonella silva;luis mendez;diego perez;lucas gonzalez;elena gonzalez;camila mendez;antonella lagos;lucas gonzalez;camila mendez;juan rojas;maria contreras;elena lagos;camila silva;juan silva;lucas tapia;pablo perez;diego silva;pedro gonzalez;lucas mendez;camila mendez;elena mendez;ana gonzalez;antonella silva;juan lagos;juan vidal;pablo silva;pablo contreras;elena perez;camila mendez;diego tapia;pablo tapia;elena gonzalez;luis rojas;maria gonzalez";23400000;11700000;11700000
40;"reunion de apoderados";2025-12-29;2026-02-10;saloneventos1;"santa cruz";empresa;76000023-k;"mapocho ltda.";16162832-8;"demetria calderon olavarria";delegado;"lucas mendez;luis contreras;ana vidal;antonella rojas;pedro silva;diego silva;lucas mendez;camila tapia;pablo gonzalez;sofia vidal;lucas rojas;juan iturra;elena tapia;luis gonzalez;antonella vidal;pedro silva;pedro lagos;juan contreras;lucas perez;sofia mendez;lucas gonzalez;diego iturra;pablo tapia;lucas gonzalez;diego iturra;juan contreras;juan perez;elena iturra;ana iturra;juan gonzalez;juan rojas;camila contreras;lucas mendez;sofia gonzalez;lucas lagos;lucas mendez;lucas gonzalez;ana iturra;antonella rojas;camila gonzalez;sofia vidal;lucas iturra;elena lagos;luis iturra;sofia gonzalez";5100000;2550000;2550000
41;"lanzamiento disco";2025-10-17;2026-02-03;saloneventos4;"santiago centro";empresa;76000024-8;"cordillera ltda.";15874661-1;"aurelio benavides arancibia";productor;"luis rojas;diego silva;antonella lagos;ana perez;luis lagos;pablo rojas;camila gonzalez;ana silva;maria gonzalez;maria perez;antonella vidal;pablo vidal;pablo iturra;camila lagos;pedro iturra;diego contreras;pedro gonzalez;antonella vidal;luis iturra;antonella iturra;diego gonzalez;juan silva;luis perez;elena contreras;camila iturra;juan perez;pablo iturra;luis iturra;diego vidal;ana iturra;camila contreras;sofia perez;juan lagos;maria mendez;juan tapia;ana contreras;juan iturra;maria contreras;pablo mendez;ana mendez;antonella contreras;elena iturra;sofia silva;ana perez;camila lagos";17200000;8600000;8600000
42;"curso de verano";2026-01-16;2026-02-26;saloneventos2;"santiago centro";empresa;76000025-6;"norte ltda.";10324995-3;"bernarda ubilla arancibia";director;"luis lagos;pablo silva;pedro perez;camila gonzalez;elena lagos;pedro lagos;luis perez;sofia gonzalez;camila iturra;camila tapia;luis iturra;juan contreras;pablo silva;lucas vidal;antonella silva;luis perez;antonella rojas;sofia iturra;maria silva;ana perez;pedro perez;lucas mendez;lucas iturra;luis gonzalez;lucas silva;camila lagos;pablo tapia;pedro perez;luis gonzalez;maria contreras;pedro iturra;juan rojas;juan gonzalez;antonella vidal;camila lagos;antonella vidal;lucas perez;pedro iturra;sofia vidal;luis lagos;ana mendez;maria contreras;elena contreras;antonella iturra;camila perez";13800000;6900000;6900000
43;"fiesta de gala invierno";2025-11-10;2026-02-18;saloneventos2;"santa cruz";empresa;76000026-4;"sur ltda.";14937516-3;"demetria estay benavides";manager;"pedro rojas;juan contreras;maria vidal;camila mendez;diego contreras;camila vidal;antonella perez;juan contreras;pablo tapia;pedro vidal;maria perez;luis iturra;diego gonzalez;diego vidal;sofia iturra;camila lagos;juan vidal;luis rojas;pedro tapia;diego silva;diego contreras;pedro contreras;luis contreras;maria rojas;camila mendez;camila contreras;juan perez;camila contreras;pedro silva;ana gonzalez;lucas mendez;pedro rojas;maria iturra;elena tapia;elena contreras;camila vidal;pablo rojas;pedro gonzalez;antonella vidal;maria vidal;lucas mendez;sofia mendez;ana mendez;camila perez;pedro silva";28400000;14200000;14200000
44;"te de tarde";2025-11-28;2026-02-08;saloneventos2;"la florida";persona;24433391-5;"filomena benavides benavides";;;dueno;"maria tapia;diego silva;diego gonzalez;ana contreras;diego gonzalez;maria iturra;antonella gonzalez;maria silva;elena perez;lucas contreras;antonella gonzalez;antonella lagos;sofia lagos;luis gonzalez;ana perez;diego perez;ana mendez;pedro vidal;pablo lagos;pablo contreras;juan lagos;camila vidal;ana lagos;ana mendez;diego perez;lucas tapia;camila perez;luis tapia;camila lagos;maria iturra;antonella iturra;lucas vidal;antonella contreras;diego rojas;sofia vidal;ana perez;maria rojas;sofia tapia;luis silva;maria iturra;maria tapia;pablo rojas;antonella iturra;pablo lagos;sofia perez";5400000;2700000;2700000
46;"paseo de curso";2025-09-24;2026-02-23;saloneventos4;"santa cruz";empresa;76000027-2;"litoral ltda.";23636962-5;"demetria calderon calderon";guia;"pedro vidal;antonella gonzalez;pedro perez;sofia gonzalez;camila silva;ana contreras;maria vidal;diego perez;antonella rojas;juan silva;ana vidal;lucas tapia;maria rojas;camila vidal;maria iturra;elena tapia;luis iturra;sofia vidal;pedro mendez;juan contreras;diego contreras;camila tapia;pablo contreras;antonella perez;luis mendez;pedro silva;maria silva;camila vidal;elena vidal;juan tapia;antonella iturra;sofia lagos;elena rojas;pedro contreras;pablo rojas;luis perez;ana rojas;lucas vidal;maria perez;diego gonzalez;diego lagos;luis silva;ana silva;antonella iturra;camila rojas";7300000;3650000;3650000
47;"cata de vinos";2025-10-17;2026-02-01;saloneventos1;"santa cruz";empresa;76000028-0;"aconcagua ltda.";23395076-9;"aurelio estay ubilla";sommelier;"camila perez;juan rojas;antonella gonzalez;diego vidal;elena contreras;juan gonzalez;ana mendez;luis lagos;pedro iturra;luis mendez;diego contreras;antonella mendez;pablo lagos;pablo rojas;antonella mendez;elena gonzalez;juan rojas;maria contreras;ana perez;diego contreras;sofia mendez;luis rojas;elena contreras;lucas contreras;camila gonzalez;antonella rojas;antonella iturra;diego contreras;ana contreras;pablo vidal;diego gonzalez;camila rojas;camila rojas;ana lagos;juan lagos;lucas tapia;maria contreras;sofia silva;lucas iturra;juan tapia;pedro silva;elena lagos;antonella gonzalez;pablo vidal;juan perez";14600000;7300000;7300000
