codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago
RES-00046;2025-11-14;"2025-11-14 10:00";"2025-11-14 11:00";reservada;13098747-8;"ana silva";no;"salon eventos 4";"la florida";100000;0;;2025-11-11
RES-00048;2025-01-14;"2025-01-14 11:00";"2025-01-14 12:00";reservada;9381544-0;"pedro rojas";no;"salon eventos 2";"la florida";100000;0;;2025-01-14
RES-00049;2025-06-14;"2025-06-14 11:00";"2025-06-14 12:00";reservada;7781298-9;"pedro rojas";si;"cancha tenis aire libre";"santiago centro";25000;0;;2025-06-13
RES-00050;2026-07-28;"2026-07-30 17:00";"2026-08-01 17:00";reservada;18776636-2;"pedro rojas";no;"cabana 1";"santiago centro";240000;0;;2025-01-01
RES-00051;2025-07-15;"2025-07-15 08:00";"2025-07-15 09:00";reservada;16276138-2;"ana silva";si;"cancha padel aire libre";"santa cruz";25000;0;;2025-07-11
RES-00052;2025-06-12;"2025-06-12 10:00";"2025-06-12 11:00";reservada;19020373-5;"juan perez";no;"piscina 1";"santiago centro";20000;0;;2025-06-07
RES-00055;2025-02-16;"2025-02-16 18:00";"2025-02-16 19:00";cancelada;9269949-8;"ana silva";no;"restaurant 1";providencia;30000;0;;2025-02-13
RES-00056;2025-04-10;"2025-04-10 16:00";"2025-04-10 17:00";reservada;6835621-0;"luis contreras";no;"restaurant 2";"santiago centro";30000;0;;2025-04-07
RES-00057;2025-05-14;"2025-05-14 21:00";"2025-05-14 22:00";ejecutada;19727843-9;"luis contreras";si;"cancha basquetbol aire libre";providencia;25000;25000;tarjeta;2025-05-10
RES-00060;2025-06-08;"2025-06-08 20:00";"2025-06-08 21:00";reservada;9087517-5;"pedro rojas";no;"cancha tenis techada";"santiago centro";35000;0;;2025-06-06
RES-00063;2025-10-13;"2025-10-13 19:00";"2025-10-13 20:00";cancelada;12192627-k;"pedro rojas";no;"salon eventos 1";"santa cruz";100000;0;;2025-10-12
RES-00066;2025-07-17;"2025-07-17 18:00";"2025-07-17 19:00";cancelada;13233936-8;"maria gonzalez";no;"piscina 1";"santiago centro";20000;0;;2025-07-16
RES-00067;2025-02-11;"2025-02-11 08:00";"2025-02-11 09:00";reservada;7989270-k;"maria gonzalez";si;"cancha padel techada";"la florida";35000;0;;2025-02-11
RES-00072;2025-10-03;"2025-10-03 22:00";"2025-10-03 23:00";ejecutada;10216723-6;"juan perez";no;"cancha futbolito aire libre";"santa cruz";25000;25000;efectivo;2025-10-02
RES-00073;2025-06-09;"2025-06-09 17:00";"2025-06-09 18:00";ejecutada;12592948-6;"ana silva";si;"cancha futbolito aire libre";"la florida";25000;25000;tarjeta;2025-06-06
RES-00076;2025-04-01;"2025-04-01 09:00";"2025-04-01 10:00";cancelada;13547030-0;"ana silva";si;"salon eventos 2";"la florida";100000;0;;2025-03-30
RES-00078;2025-06-17;"2025-06-17 14:00";"2025-06-17 15:00";ejecutada;7500349-8;"pedro rojas";no;"salon eventos 4";"la florida";100000;100000;efectivo;2025-06-13
RES-00083;2025-07-10;"2025-07-10 21:00";"2025-07-10 22:00";ejecutada;15804334-3;"luis contreras";si;"cancha futbolito techada";providencia;35000;35000;transferencia;2025-07-08
RES-00089;2025-11-12;"2025-11-12 08:00";"2025-11-12 09:00";ejecutada;13981951-9;"ana silva";no;"cancha futbolito techada";"santa cruz";35000;35000;efectivo;2025-11-11
RES-00090;2025-06-08;"2025-06-08 15:00";"2025-06-08 16:00";cancelada;9269949-8;"ana silva";no;"cancha padel aire libre";"santa cruz";25000;0;;2025-06-04
RES-00099;2025-09-17;"2025-09-17 09:00";"2025-09-17 10:00";reservada;9203394-5;"luis contreras";si;"piscina 2";"santa cruz";20000;0;;2025-09-14
RES-00103;2025-01-15;"2025-01-15 11:00";"2025-01-15 12:00";reservada;6858349-7;"luis contreras";no;"cancha basquetbol aire libre";"la florida";25000;0;;2025-01-13
RES-00105;2025-05-14;"2025-05-14 19:00";"2025-05-14 20:00";cancelada;5204506-1;"ana silva";si;"salon eventos 3";providencia;100000;0;;2025-05-11
RES-00106;2025-10-15;"2025-10-15 17:00";"2025-10-15 18:00";ejecutada;8442882-5;"ana silva";no;"salon eventos 3";providencia;100000;100000;tarjeta;2025-10-13
RES-00107;2025-12-12;"2025-12-12 22:00";"2025-12-12 23:00";cancelada;15047491-4;"ana silva";no;"cancha padel techada";"santiago centro";35000;0;;2025-12-10
RES-00108;2025-06-14;"2025-06-14 17:00";"2025-06-14 18:00";ejecutada;17623443-1;"maria gonzalez";si;"piscina 1";"santa cruz";20000;20000;transferencia;2025-06-12
RES-00109;2025-10-15;"2025-10-15 18:00";"2025-10-15 19:00";ejecutada;16825005-3;"ana silva";si;"piscina 1";"santa cruz";20000;20000;efectivo;2025-10-11
RES-00113;2025-01-02;"2025-01-02 20:00";"2025-01-02 21:00";reservada;13650113-5;"pedro rojas";no;"cancha futbolito techada";"santiago centro";35000;0;;2025-01-01
RES-00114;2025-10-10;"2025-10-10 17:00";"2025-10-10 18:00";ejecutada;18565989-5;"luis contreras";no;"cancha basquetbol aire libre";providencia;25000;25000;tarjeta;2025-10-07
RES-00115;2025-02-07;"2025-02-07 12:00";"2025-02-07 13:00";reservada;6951223-2;"maria gonzalez";si;"piscina 2";"la florida";20000;0;;2025-02-06
RES-00117;2025-08-05;"2025-08-05 22:00";"2025-08-05 23:00";cancelada;13203913-5;"maria gonzalez";si;"cancha futbolito techada";"santiago centro";35000;0;;2025-07-31
RES-00119;2025-01-20;"2025-01-20 18:00";"2025-01-20 19:00";cancelada;6504014-k;"luis contreras";si;"cancha tenis techada";"santa cruz";35000;0;;2025-01-18
RES-00120;2025-08-09;"2025-08-09 17:00";"2025-08-09 18:00";ejecutada;13288053-0;"luis contreras";no;"salon eventos 4";"santiago centro";100000;100000;tarjeta;2025-08-09
RES-00121;2025-04-20;"2025-04-20 15:00";"2025-04-20 16:00";cancelada;19197001-2;"ana silva";si;"cancha tenis techada";"la florida";35000;0;;2025-04-15
RES-00122;2025-05-18;"2025-05-18 09:00";"2025-05-18 10:00";reservada;22388037-1;"luis contreras";si;"cancha basquetbol aire libre";providencia;25000;0;;2025-05-18
RES-00123;2025-01-07;"2025-01-07 22:00";"2025-01-07 23:00";reservada;6126625-9;"maria gonzalez";no;"piscina 2";"santiago centro";20000;0;;2025-01-04
RES-00125;2025-08-18;"2025-08-18 08:00";"2025-08-18 09:00";cancelada;16257735-2;"maria gonzalez";no;"cancha padel aire libre";providencia;25000;0;;2025-08-13
RES-00126;2025-01-05;"2025-01-05 22:00";"2025-01-05 23:00";cancelada;17049622-1;"pedro rojas";no;"cancha tenis techada";providencia;35000;0;;2024-12-31
RES-00127;2025-06-04;"2025-06-04 15:00";"2025-06-04 16:00";reservada;7997541-9;"ana silva";si;"piscina 1";"santiago centro";20000;0;;2025-06-04
RES-00130;2025-02-09;"2025-02-09 20:00";"2025-02-09 21:00";reservada;17623443-1;"maria gonzalez";no;"cancha futbolito aire libre";"santa cruz";25000;0;;2025-02-04
RES-00131;2025-12-08;"2025-12-08 19:00";"2025-12-08 20:00";cancelada;21217431-9;"juan perez";no;"restaurant 2";"santiago centro";30000;0;;2025-12-03
RES-00134;2025-01-09;"2025-01-09 12:00";"2025-01-09 13:00";cancelada;11450455-6;"luis contreras";si;"salon eventos 2";"santa cruz";100000;0;;2025-01-04
RES-00136;2025-10-02;"2025-10-02 09:00";"2025-10-02 10:00";reservada;6504014-k;"luis contreras";si;"cancha futbolito aire libre";"la florida";25000;0;;2025-09-28
RES-00140;2025-01-19;"2025-01-19 14:00";"2025-01-19 15:00";ejecutada;6085414-9;"maria gonzalez";no;"cancha padel techada";"santiago centro";35000;35000;transferencia;2025-01-18
RES-00143;2025-07-13;"2025-07-13 22:00";"2025-07-13 23:00";reservada;13914038-9;"luis contreras";si;"cancha tenis aire libre";"santiago centro";25000;0;;2025-07-09
RES-00145;2025-09-16;"2025-09-16 14:00";"2025-09-16 15:00";reservada;17914991-5;"maria gonzalez";si;"piscina 1";providencia;20000;0;;2025-09-12
RES-00148;2025-12-17;"2025-12-17 10:00";"2025-12-17 11:00";cancelada;18053720-1;"ana silva";si;"cancha tenis techada";"santa cruz";35000;0;;2025-12-14
RES-00153;2025-11-03;"2025-11-03 11:00";"2025-11-03 12:00";reservada;12875377-k;"maria gonzalez";no;"cancha tenis aire libre";providencia;25000;0;;2025-11-03
RES-00155;2025-04-18;"2025-04-18 12:00";"2025-04-18 13:00";ejecutada;20914133-9;"juan perez";no;"salon eventos 1";"santiago centro";100000;100000;transferencia;2025-04-16
RES-00156;2025-06-09;"2025-06-09 18:00";"2025-06-09 19:00";cancelada;11374837-0;"maria gonzalez";no;"salon eventos 3";providencia;100000;0;;2025-06-09
RES-00158;2025-10-12;"2025-10-12 10:00";"2025-10-12 11:00";ejecutada;23021174-4;"maria gonzalez";no;"salon eventos 1";"la florida";100000;100000;transferencia;2025-10-10
RES-00159;2026-07-08;"2026-07-10 08:30";"2026-07-10 09:30";reservada;20078438-3;"ana silva";si;"cancha basquetbol techada";"santa cruz";35000;35000;efectivo;2025-05-31
RES-00160;2025-10-16;"2025-10-16 20:00";"2025-10-16 21:00";cancelada;6626889-6;"pedro rojas";si;"cancha tenis techada";providencia;35000;0;;2025-10-16
RES-00161;2025-01-19;"2025-01-19 14:00";"2025-01-19 15:00";reservada;12080481-2;"maria gonzalez";no;"restaurant 2";"santiago centro";30000;0;;2025-01-15
RES-00162;2025-06-04;"2025-06-04 20:00";"2025-06-04 21:00";ejecutada;7206185-3;"luis contreras";si;"piscina 2";providencia;20000;20000;efectivo;2025-05-30
RES-00166;2025-11-16;"2025-11-16 10:00";"2025-11-16 11:00";cancelada;11247006-9;"luis contreras";no;"restaurant 2";providencia;30000;0;;2025-11-11
RES-00169;2025-04-14;"2025-04-14 21:00";"2025-04-14 22:00";reservada;17133976-6;"juan perez";no;"cancha basquetbol aire libre";"santa cruz";25000;0;;2025-04-11
RES-00170;2025-02-20;"2025-02-20 21:00";"2025-02-20 22:00";cancelada;21178138-6;"ana silva";no;"restaurant 2";"la florida";30000;0;;2025-02-15
RES-00176;2025-05-11;"2025-05-11 18:00";"2025-05-11 19:00";ejecutada;21934163-6;"maria gonzalez";si;"salon eventos 1";"la florida";100000;100000;efectivo;2025-05-11
RES-00178;2025-12-02;"2025-12-02 17:00";"2025-12-02 18:00";reservada;20642956-9;"ana silva";si;"cancha futbolito aire libre";providencia;25000;0;;2025-12-01
RES-00181;2025-10-04;"2025-10-04 13:00";"2025-10-04 14:00";reservada;17275270-5;"pedro rojas";no;"cancha basquetbol aire libre";providencia;25000;0;;2025-09-30
RES-00187;2025-04-18;"2025-04-18 15:00";"2025-04-18 16:00";ejecutada;9213225-0;"maria gonzalez";no;"restaurant 1";providencia;30000;30000;efectivo;2025-04-14
RES-00191;2025-10-16;"2025-10-16 15:00";"2025-10-16 16:00";ejecutada;20184378-2;"pedro rojas";no;"cancha basquetbol techada";"santa cruz";35000;35000;efectivo;2025-10-16
RES-00192;2025-05-05;"2025-05-05 21:00";"2025-05-05 22:00";ejecutada;19197001-2;"ana silva";no;"cancha padel techada";"santiago centro";35000;35000;tarjeta;2025-05-04
RES-00196;2025-10-03;"2025-10-03 12:00";"2025-10-03 13:00";ejecutada;13897062-0;"maria gonzalez";no;"cancha futbolito techada";"santa cruz";35000;35000;efectivo;2025-10-03
RES-00198;2025-05-01;"2025-05-01 16:00";"2025-05-01 17:00";cancelada;18965892-3;"juan perez";si;"salon eventos 1";"santa cruz";100000;0;;2025-04-30
RES-00199;2025-01-08;"2025-01-08 10:00";"2025-01-08 11:00";cancelada;18885368-4;"maria gonzalez";si;"cancha tenis techada";"la florida";35000;0;;2025-01-03
RES-00205;2025-09-08;"2025-09-08 16:00";"2025-09-08 17:00";ejecutada;6512346-0;"maria gonzalez";si;"cancha padel aire libre";"santa cruz";25000;25000;efectivo;2025-09-05
RES-00206;2025-11-18;"2025-11-18 08:00";"2025-11-18 09:00";cancelada;11727551-5;"maria gonzalez";si;"salon eventos 3";"santa cruz";100000;0;;2025-11-17
RES-00209;2025-12-15;"2025-12-15 13:00";"2025-12-15 14:00";cancelada;6504014-k;"luis contreras";si;"salon eventos 1";providencia;100000;0;;2025-12-10
RES-00211;2025-02-11;"2025-02-11 09:00";"2025-02-11 10:00";ejecutada;15819975-0;"pedro rojas";no;"piscina 2";"la florida";20000;20000;tarjeta;2025-02-06
RES-00212;2025-03-19;"2025-03-19 22:00";"2025-03-19 23:00";reservada;23021174-4;"maria gonzalez";si;"cancha tenis techada";providencia;35000;0;;2025-03-18
RES-00214;2025-05-18;"2025-05-18 09:00";"2025-05-18 10:00";cancelada;16530236-2;"pedro rojas";si;"piscina 1";"santa cruz";20000;0;;2025-05-14
RES-00215;2026-07-09;"2026-07-11 12:00";"2026-07-21 12:00";reservada;17820790-3;"juan perez";no;"cabana 19";"santiago centro";1200000;0;;2025-05-05
RES-00218;2025-03-04;"2025-03-04 11:00";"2025-03-04 12:00";reservada;22256719-k;"ana silva";si;"restaurant 1";"santa cruz";30000;0;;2025-03-02
RES-00221;2025-12-09;"2025-12-09 12:00";"2025-12-09 13:00";cancelada;18616868-2;"luis contreras";no;"cancha futbolito aire libre";providencia;25000;0;;2025-12-08
RES-00226;2025-06-10;"2025-06-10 17:00";"2025-06-10 18:00";reservada;17275270-5;"pedro rojas";si;"cancha futbolito aire libre";"santiago centro";25000;0;;2025-06-08
RES-00231;2025-12-07;"2025-12-07 11:00";"2025-12-07 12:00";ejecutada;5590602-5;"juan perez";no;"restaurant 2";providencia;30000;30000;efectivo;2025-12-04
RES-00235;2025-07-20;"2025-07-20 12:00";"2025-07-20 13:00";cancelada;10145466-5;"pedro rojas";no;"cancha basquetbol aire libre";"santiago centro";25000;0;;2025-07-19
RES-00237;2025-11-11;"2025-11-11 17:00";"2025-11-11 18:00";cancelada;18242406-4;"ana silva";no;"piscina 1";"santiago centro";20000;0;;2025-11-08
RES-00239;2025-02-12;"2025-02-12 14:00";"2025-02-12 15:00";cancelada;5938386-8;"ana silva";si;"piscina 2";"la florida";20000;0;;2025-02-07
RES-00243;2025-08-12;"2025-08-12 09:00";"2025-08-12 10:00";ejecutada;15447012-3;"pedro rojas";no;"restaurant 1";"santiago centro";30000;30000;tarjeta;2025-08-09
RES-00246;2025-01-18;"2025-01-18 19:00";"2025-01-18 20:00";ejecutada;23684083-2;"pedro rojas";no;"salon eventos 4";providencia;100000;100000;transferencia;2025-01-14
RES-00248;2025-07-04;"2025-07-04 13:00";"2025-07-04 14:00";reservada;13203913-5;"maria gonzalez";si;"cancha futbolito techada";"santiago centro";35000;0;;2025-06-30
RES-00250;2026-07-04;"2026-07-06 03:30";"2026-07-06 04:30";reservada;6835621-0;"luis contreras";si;"restaurant 2";"la florida";30000;0;;2025-08-15
RES-00253;2025-11-19;"2025-11-19 17:00";"2025-11-19 18:00";ejecutada;11616558-9;"maria gonzalez";si;"cancha padel aire libre";"la florida";25000;25000;tarjeta;2025-11-16
RES-00254;2025-03-03;"2025-03-03 16:00";"2025-03-03 17:00";reservada;15826885-k;"juan perez";si;"salon eventos 1";"santiago centro";100000;0;;2025-02-28
RES-00257;2025-07-18;"2025-07-18 19:00";"2025-07-18 20:00";cancelada;9487250-2;"ana silva";no;"restaurant 1";"la florida";30000;0;;2025-07-18
RES-00262;2025-10-01;"2025-10-01 21:00";"2025-10-01 22:00";ejecutada;16987649-5;"maria gonzalez";si;"cancha tenis techada";"la florida";35000;35000;efectivo;2025-10-01
RES-00263;2025-01-05;"2025-01-05 13:00";"2025-01-05 14:00";reservada;14584200-k;"pedro rojas";no;"salon eventos 4";"santa cruz";100000;0;;2025-01-05
RES-00267;2025-08-05;"2025-08-05 19:00";"2025-08-05 20:00";cancelada;10289799-4;"maria gonzalez";si;"cancha basquetbol techada";"santa cruz";35000;0;;2025-08-01
RES-00268;2025-04-06;"2025-04-06 09:00";"2025-04-06 10:00";cancelada;14861266-8;"ana silva";no;"salon eventos 3";"santa cruz";100000;0;;2025-04-01
RES-00271;2025-03-16;"2025-03-16 22:00";"2025-03-16 23:00";cancelada;10145466-5;"pedro rojas";no;"cancha padel aire libre";providencia;25000;0;;2025-03-12
RES-00272;2025-08-10;"2025-08-10 08:00";"2025-08-10 09:00";reservada;13224751-k;"luis contreras";no;"cancha basquetbol techada";"la florida";35000;0;;2025-08-06
RES-00275;2025-11-06;"2025-11-06 12:00";"2025-11-06 13:00";cancelada;18881160-4;"pedro rojas";si;"cancha tenis aire libre";"la florida";25000;0;;2025-11-04
RES-00283;2025-03-16;"2025-03-16 12:00";"2025-03-16 13:00";ejecutada;9978267-6;"pedro rojas";no;"cancha futbolito aire libre";"santa cruz";25000;25000;efectivo;2025-03-14
RES-00284;2025-06-12;"2025-06-12 19:00";"2025-06-12 20:00";reservada;24139677-0;"ana silva";si;"piscina 1";"la florida";20000;0;;2025-06-11
RES-00288;2025-12-13;"2025-12-13 09:00";"2025-12-13 10:00";reservada;11219981-0;"pedro rojas";si;"piscina 1";"la florida";20000;0;;2025-12-12
RES-00293;2025-08-13;"2025-08-13 17:00";"2025-08-13 18:00";reservada;12925543-9;"maria gonzalez";no;"cancha padel techada";providencia;35000;0;;2025-08-13
RES-00295;2025-02-11;"2025-02-11 15:00";"2025-02-11 16:00";cancelada;13397853-4;"juan perez";no;"cancha basquetbol techada";"santiago centro";35000;0;;2025-02-08
RES-00301;2025-08-07;"2025-08-07 13:00";"2025-08-07 14:00";cancelada;10289799-2;"maria gonzalez";no;"piscina 1";"santa cruz";20000;0;;2025-08-04
RES-00302;2025-01-20;"2025-01-20 08:00";"2025-01-20 09:00";reservada;23835968-6;"juan perez";si;"salon eventos 4";"santiago centro";100000;0;;2025-01-19
RES-00303;2025-10-16;"2025-10-16 10:00";"2025-10-16 11:00";cancelada;15600733-1;"luis contreras";si;"piscina 1";"santa cruz";20000;0;;2025-10-12
RES-00308;2025-06-11;"2025-06-11 21:00";"2025-06-11 22:00";reservada;17914991-5;"maria gonzalez";no;"cancha futbolito aire libre";"santa cruz";25000;0;;2025-06-08
RES-00311;2025-08-01;"2025-08-01 09:00";"2025-08-01 10:00";ejecutada;15035367-k;"maria gonzalez";no;"restaurant 2";providencia;30000;30000;transferencia;2025-07-29
RES-00312;2025-11-09;"2025-11-09 19:00";"2025-11-09 20:00";reservada;20672079-4;"juan perez";no;"cancha basquetbol aire libre";"santa cruz";25000;0;;2025-11-07
RES-00313;2025-09-09;"2025-09-09 08:00";"2025-09-09 09:00";cancelada;12913560-3;"ana silva";si;"cancha padel techada";"santiago centro";35000;0;;2025-09-08
RES-00317;2025-02-20;"2025-02-20 08:00";"2025-02-20 09:00";reservada;13554594-5;"pedro rojas";no;"salon eventos 3";"la florida";100000;0;;2025-02-19
RES-00319;2025-07-12;"2025-07-12 22:00";"2025-07-12 23:00";ejecutada;11616558-9;"maria gonzalez";no;"cancha futbolito aire libre";"santa cruz";25000;25000;transferencia;2025-07-12
RES-00322;2025-11-06;"2025-11-06 09:00";"2025-11-06 10:00";reservada;11218435-k;"luis contreras";si;"restaurant 2";"santa cruz";30000;0;;2025-11-06
RES-00324;2025-11-18;"2025-11-18 14:00";"2025-11-18 15:00";cancelada;10289799-4;"maria gonzalez";si;"restaurant 2";providencia;30000;0;;2025-11-15
RES-00325;2025-04-18;"2025-04-18 08:00";"2025-04-18 09:00";cancelada;13224751-k;"luis contreras";si;"salon eventos 3";"la florida";100000;0;;2025-04-14
RES-00326;2025-01-04;"2025-01-04 09:00";"2025-01-04 10:00";reservada;7686256-7;"luis contreras";si;"cancha basquetbol techada";"santiago centro";35000;0;;2024-12-30
RES-00327;2025-03-03;"2025-03-03 20:00";"2025-03-03 21:00";reservada;16304937-6;"juan perez";si;"restaurant 1";"santa cruz";30000;0;;2025-03-01
RES-00330;2025-07-17;"2025-07-17 08:00";"2025-07-17 09:00";cancelada;19576306-2;"luis contreras";no;"piscina 1";providencia;20000;0;;2025-07-17
RES-00331;2025-02-19;"2025-02-19 21:00";"2025-02-19 22:00";ejecutada;17911506-9;"pedro rojas";no;"piscina 2";"santiago centro";20000;20000;efectivo;2025-02-15
RES-00334;2025-03-04;"2025-03-04 17:00";"2025-03-04 18:00";cancelada;16214968-7;"luis contreras";si;"salon eventos 4";"santiago centro";100000;0;;2025-03-04
RES-00336;2026-05-01;"2026-05-03 04:30";"2026-05-08 04:30";reservada;10645717-4;"pedro rojas";no;"cabana 16";providencia;600000;0;;2025-10-11
RES-00340;2025-01-11;"2025-01-11 13:00";"2025-01-11 14:00";ejecutada;6807678-1;"pedro rojas";no;"restaurant 1";"santa cruz";30000;30000;efectivo;2025-01-06
RES-00341;2025-09-15;"2025-09-15 15:00";"2025-09-15 16:00";ejecutada;8409701-2;"pedro rojas";si;"cancha futbolito aire libre";"santiago centro";25000;25000;tarjeta;2025-09-11
RES-00344;2025-11-13;"2025-11-13 12:00";"2025-11-13 13:00";cancelada;18602114-2;"juan perez";no;"salon eventos 1";providencia;100000;0;;2025-11-11
RES-00351;2025-03-08;"2025-03-08 10:00";"2025-03-08 11:00";ejecutada;8223654-6;"ana silva";si;"salon eventos 3";"santiago centro";100000;100000;tarjeta;2025-03-06
RES-00355;2025-04-03;"2025-04-03 18:00";"2025-04-03 19:00";reservada;13224751-k;"luis contreras";no;"piscina 1";"santa cruz";20000;0;;2025-03-29
RES-00356;2025-01-09;"2025-01-09 15:00";"2025-01-09 16:00";ejecutada;8084042-k;"maria gonzalez";no;"piscina 1";"la florida";20000;20000;transferencia;2025-01-06
RES-00360;2025-03-19;"2025-03-19 12:00";"2025-03-19 13:00";ejecutada;21947907-7;"maria gonzalez";no;"cancha basquetbol aire libre";providencia;25000;25000;efectivo;2025-03-14
RES-00365;2025-11-04;"2025-11-04 21:00";"2025-11-04 22:00";reservada;15115625-8;"juan perez";si;"cancha basquetbol techada";"santiago centro";35000;0;;2025-11-02
RES-00366;2025-02-19;"2025-02-19 10:00";"2025-02-19 11:00";cancelada;11627877-4;"pedro rojas";no;"salon eventos 2";providencia;100000;0;;2025-02-14
RES-00368;2026-06-09;"2026-06-11 02:00";"2026-06-11 03:00";reservada;17096666-k;"juan perez";si;"cancha futbolito aire libre";"santa cruz";25000;0;;2025-11-14
RES-00370;2025-08-13;"2025-08-13 16:00";"2025-08-13 17:00";ejecutada;7500349-8;"pedro rojas";no;"salon eventos 3";"santa cruz";100000;100000;efectivo;2025-08-09
RES-00372;2025-01-06;"2025-01-06 09:00";"2025-01-06 10:00";cancelada;24447412-8;"juan perez";si;"piscina 2";providencia;20000;0;;2025-01-03
RES-00373;2025-10-17;"2025-10-17 13:00";"2025-10-17 14:00";reservada;20727566-2;"juan perez";no;"cancha tenis techada";providencia;35000;0;;2025-10-15
RES-00374;2025-07-05;"2025-07-05 15:00";"2025-07-05 16:00";cancelada;20666104-6;"juan perez";si;"cancha padel aire libre";"santa cruz";25000;0;;2025-07-03
RES-00375;2025-05-04;"2025-05-04 15:00";"2025-05-04 16:00";cancelada;14394380-1;"pedro rojas";si;"salon eventos 3";"santiago centro";100000;0;;2025-04-29
RES-00378;2025-03-12;"2025-03-12 13:00";"2025-03-12 14:00";cancelada;7206185-3;"luis contreras";no;"cancha futbolito techada";providencia;35000;0;;2025-03-10
RES-00379;2025-02-19;"2025-02-19 22:00";"2025-02-19 23:00";ejecutada;5633053-4;"maria gonzalez";si;"salon eventos 1";providencia;100000;100000;efectivo;2025-02-15
RES-00382;2025-04-18;"2025-04-18 10:00";"2025-04-18 11:00";reservada;24619463-7;"ana silva";si;"salon eventos 2";"la florida";100000;0;;2025-04-15
RES-00386;2025-07-14;"2025-07-14 14:00";"2025-07-14 15:00";ejecutada;7613535-5;"ana silva";si;"cancha tenis techada";"santa cruz";35000;35000;tarjeta;2025-07-11
RES-00388;2025-10-17;"2025-10-17 10:00";"2025-10-17 11:00";ejecutada;17914991-5;"maria gonzalez";no;"salon eventos 2";"santiago centro";100000;100000;efectivo;2025-10-16
RES-00389;2025-04-17;"2025-04-17 11:00";"2025-04-17 12:00";reservada;24447412-8;"juan perez";si;"salon eventos 4";providencia;100000;0;;2025-04-17
