evento_id;nombre_evento;fecha_contratación;fecha_evento;lugar_nombre;sucursal_nombre;tipo_cliente;run_cliente;nombre_cliente;rut_contacto_empresa;nombre_contacto_empresa;cargo_contacto;lista_asistentes;monto_total_evento;monto_pagado_reserva;monto_pagado_ejecucion
11;Aniversario Empresa;25-11-25;03-02-26;SalonEventos2;Santiago Centro;empresa-institucion;76.000.004-3;Cordillera SpA;22739223-1;Eulogio Duarte Olavarría;Gerente Operaciones;"Maria Gonzalez;Antonella Tapia;Elena Iturra;Luis Gonzalez;Antonella Silva;Diego Tapia;Pablo Silva;Lucas Rojas;Elena Gonzalez;Elena Tapia;Pablo Lagos;Maria Silva;Elena Tapia;Pablo Rojas;Luis Silva;Juan Iturra;Elena Mendez;Sofia Tapia;Lucas Rojas;Camila Rojas;Camila Gonzalez;Maria Perez;Pablo Lagos;Antonella Gonzalez;Pablo Perez;Maria Gonzalez;Ana Mendez;Maria Vidal;Luis Perez;Luis Silva;Lucas Vidal;Antonella Iturra;Sofia Vidal;Ana Contreras;Pablo Lagos;Sofia Mendez;Lucas Gonzalez;Ana Iturra;Luis Gonzalez;Ana Lagos;Ana Gonzalez;Ana Gonzalez;Pedro Vidal;Elena Silva;Luis Perez";24500000;12250000;12250000
12;Seminario de InnovaciÃ³n;25-10-25;13-02-26;SalonEventos4;Providencia;empresa-institucion;76.000.005-1;Norte SpA;10988545-2;Casimiro Arancibia Benavides;CEO;"Pedro Silva;Luis Silva;Elena Mendez;Elena Tapia;Pedro Rojas;Ana Tapia;Luis Gonzalez;Lucas Lagos;Ana Gonzalez;Pedro Contreras;Sofia Lagos;Pablo Rojas;Pedro Lagos;Ana Iturra;Juan Mendez;Sofia Iturra;Lucas Tapia;Luis Vidal;Pablo Lagos;Juan Perez;Elena Perez;Pedro Gonzalez;Elena Contreras;Diego Perez;Elena Perez;Luis Rojas;Luis Contreras;Sofia Perez;Pedro Mendez;Lucas Tapia;Lucas Tapia;Antonella Rojas;Luis Mendez;Pedro Iturra;Antonella Contreras;Antonella Tapia;Pedro Lagos;Pablo Silva;Juan Tapia;Pablo Perez;Pablo Iturra;Antonella Gonzalez;Pedro Iturra;Luis Tapia;Sofia Perez";14800000;7400000;7400000
13;PresentaciÃ³n Cultural;12-12-25;21-02-26;SalonEventos2;La Florida;empresa-institucion;76.000.006-K;Sur SpA;21822737-6;Filomena Mondaca Calderon;Curador;"Juan Perez;Sofia Mendez;Juan Gonzalez;Juan Lagos;Ana Rojas;Juan Lagos;Juan Vidal;Diego Contreras;Antonella Mendez;Pablo Contreras;Diego Tapia;Sofia Contreras;Camila Tapia;Camila Gonzalez;Diego Gonzalez;Elena Iturra;Ana Silva;Pablo Perez;Ana Contreras;Camila Lagos;Luis Vidal;Maria Lagos;Juan Iturra;Antonella Gonzalez;Antonella Gonzalez;Lucas Perez;Ana Tapia;Ana Perez;Camila Perez;Elena Vidal;Juan Lagos;Pedro Tapia;Sofia Gonzalez;Elena Gonzalez;Antonella Lagos;Juan Iturra;Juan Vidal;Juan Tapia;Diego Iturra;Ana Tapia;Maria Tapia;Lucas Iturra;Luis Iturra;Camila Mendez;Elena Tapia";8900000;4450000;4450000
14;Cena Beneficencia;10-10-25;28-02-26;SalonEventos2;Providencia;empresa-institucion;76.000.007-8;Litoral SpA;17837515-6;Eulogio Calderon Arancibia;Presidente;"Lucas Iturra;Ana Rojas;Diego Contreras;Pablo Silva;Pablo Contreras;Pedro Lagos;Pablo Vidal;Luis Mendez;Luis Silva;Pablo Lagos;Antonella Rojas;Ana Rojas;Juan Lagos;Ana Perez;Maria Silva;Antonella Iturra;Elena Perez;Luis Tapia;Diego Lagos;Diego Gonzalez;Pedro Tapia;Pedro Silva;Juan Tapia;Camila Iturra;Antonella Tapia;Diego Rojas;Ana Tapia;Camila Lagos;Juan Lagos;Antonella Lagos;Antonella Lagos;Lucas Iturra;Sofia Silva;Juan Contreras;Maria Perez;Pablo Iturra;Luis Tapia;Elena Tapia;Ana Tapia;Sofia Mendez;Pablo Gonzalez;Camila Rojas;Sofia Vidal;Maria Tapia;Juan Perez";20600000;10300000;10300000
15;Fiesta CumpleaÃ±os;19-08-25;16-02-26;SalonEventos1;La Florida;persona;18494487-1;Demetria Ubilla Estay;;;Productor;"Antonella Mendez;Sofia Lagos;Elena Mendez;Pedro Vidal;Ana Gonzalez;Juan Mendez;Maria Iturra;Maria Mendez;Juan Perez;Pedro Gonzalez;Lucas Vidal;Lucas Contreras;Maria Tapia;Pedro Silva;Sofia Iturra;Diego Contreras;Pedro Lagos;Lucas Gonzalez;Diego Gonzalez;Juan Contreras;Maria Gonzalez;Pablo Iturra;Maria Lagos;Luis Contreras;Luis Vidal;Antonella Mendez;Antonella Iturra;Pablo Mendez;Maria Silva;Antonella Perez;Pablo Perez;Antonella Rojas;Camila Silva;Juan Rojas;Juan Tapia;Ana Lagos;Ana Rojas;Ana Vidal;Antonella Perez;Maria Tapia;Diego Perez;Antonella Lagos;Ana Mendez;Maria Gonzalez;Pedro Lagos";7400000;3700000;3700000
16;Almuerzo Ejecutivo;02-12-25;23-02-26;SalonEventos1;La Florida;empresa-institucion;76.000.008-6;Aconcagua SpA;13217974-3;Aurelio Arancibia Mondaca;Socio Principal;"Ana Tapia;Elena Gonzalez;Camila Perez;Luis Gonzalez;Juan Silva;Ana Gonzalez;Diego Perez;Diego Mendez;Juan Contreras;Lucas Tapia;Maria Mendez;Lucas Contreras;Maria Perez;Maria Silva;Diego Mendez;Luis Tapia;Antonella Contreras;Lucas Tapia;Elena Vidal;Elena Perez;Diego Mendez;Sofia Mendez;Lucas Perez;Maria Mendez;Lucas Iturra;Maria Silva;Antonella Rojas;Pablo Lagos;Antonella Perez;Diego Iturra;Pablo Vidal;Lucas Silva;Pedro Iturra;Antonella Contreras;Juan Silva;Pedro Tapia;Sofia Gonzalez;Maria Iturra;Camila Silva;Pedro Tapia;Luis Tapia;Maria Perez;Antonella Tapia;Antonella Rojas;Lucas Lagos";5800000;2900000;2900000
17;Congreso MÃ©dico;16-11-25;17-02-26;SalonEventos4;Santiago Centro;empresa-institucion;76.000.009-4;Austral SpA;13870839-K;Herminda Calderon Arancibia;Director MÃ©dico;"Lucas Silva;Luis Lagos;Sofia Perez;Sofia Iturra;Sofia Contreras;Ana Lagos;Juan Perez;Maria Mendez;Ana Perez;Camila Lagos;Pablo Iturra;Pedro Mendez;Sofia Contreras;Juan Rojas;Ana Lagos;Lucas Gonzalez;Pablo Iturra;Camila Lagos;Camila Mendez;Camila Iturra;Diego Iturra;Ana Perez;Juan Gonzalez;Elena Contreras;Juan Silva;Pablo Gonzalez;Maria Vidal;Juan Rojas;Luis Perez;Antonella Silva;Juan Rojas;Ana Silva;Ana Contreras;Pablo Contreras;Luis Mendez;Ana Vidal;Antonella Vidal;Luis Rojas;Luis Gonzalez;Maria Lagos;Lucas Tapia;Lucas Contreras;Ana Contreras;Ana Iturra;Antonella Perez";29500000;14750000;14750000
18;Entrega de Premios;04-11-25;20-02-26;SalonEventos4;Santiago Centro;socio;22924363-2;;;;Cuentas;"Diego Mendez;Pablo Vidal;Maria Contreras;Sofia Contreras;Juan Vidal;Juan Mendez;Pedro Mendez;Luis Iturra;Antonella Silva;Elena Iturra;Pablo Iturra;Diego Silva;Camila Vidal;Camila Lagos;Pablo Iturra;Camila Silva;Camila Lagos;Lucas Mendez;Sofia Contreras;Maria Rojas;Elena Tapia;Pedro Contreras;Maria Mendez;Camila Rojas;Pablo Rojas;Pablo Rojas;Camila Gonzalez;Lucas Gonzalez;Ana Rojas;Juan Vidal;Maria Silva;Diego Rojas;Ana Silva;Diego Mendez;Ana Mendez;Lucas Gonzalez;Sofia Rojas;Pedro Lagos;Ana Silva;Maria Iturra;Lucas Iturra;Lucas Iturra;Luis Rojas;Maria Vidal;Sofia Gonzalez";16200000;8100000;8100000
19;Workshop FotografÃ­a;27-09-25;08-02-26;SalonEventos3;Santa Cruz;empresa-institucion;76.000.010-8;Cumbre SpA;15446190-6;Demetria Olavarría Calderon;Editor;"Diego Tapia;Pablo Tapia;Lucas Lagos;Luis Perez;Elena Perez;Diego Rojas;Luis Mendez;Antonella Tapia;Sofia Perez;Luis Rojas;Antonella Perez;Pablo Lagos;Elena Contreras;Antonella Lagos;Diego Vidal;Luis Rojas;Luis Mendez;Antonella Iturra;Sofia Tapia;Luis Gonzalez;Elena Perez;Diego Tapia;Sofia Rojas;Luis Contreras;Lucas Iturra;Pablo Contreras;Pedro Perez;Ana Iturra;Luis Silva;Antonella Contreras;Ana Tapia;Diego Vidal;Juan Vidal;Ana Gonzalez;Lucas Lagos;Luis Contreras;Ana Contreras;Ana Mendez;Luis Rojas;Luis Gonzalez;Maria Iturra;Lucas Lagos;Luis Perez;Sofia Contreras;Camila Contreras";11900000;5950000;5950000
20;Showroom Moda;07-02-26;22-02-26;SalonEventos1;Providencia;empresa-institucion;76.000.011-6;Valle SpA;16273121-1;Gumersindo Olavarría Mondaca;Manager;"Elena Lagos;Diego Rojas;Camila Rojas;Luis Vidal;Juan Lagos;Juan Mendez;Pedro Iturra;Antonella Rojas;Ana Rojas;Luis Tapia;Pedro Mendez;Antonella Contreras;Juan Silva;Maria Vidal;Pedro Vidal;Lucas Vidal;Sofia Rojas;Pablo Silva;Ana Iturra;Maria Rojas;Pablo Lagos;Pedro Tapia;Diego Iturra;Camila Gonzalez;Elena Gonzalez;Antonella Lagos;Lucas Gonzalez;Camila Silva;Maria Mendez;Camila Gonzalez;Ana Iturra;Antonella Silva;Maria Silva;Pablo Perez;Lucas Gonzalez;Ana Tapia;Camila Perez;Antonella Lagos;Juan Mendez;Juan Gonzalez;Elena Gonzalez;Pablo Vidal;Diego Vidal;Pedro Silva;Pablo Contreras";21400000;10700000;10700000
21;CapacitaciÃ³n Ventas;11-10-25;19-02-26;SalonEventos1;La Florida;empresa-institucion;76.000.012-4;Río SpA;15283451-9;Gumersindo Ubilla Estay;Jefe Ventas;"Camila Gonzalez;Sofia Lagos;Ana Tapia;Camila Gonzalez;Diego Tapia;Antonella Tapia;Pablo Lagos;Elena Contreras;Pablo Rojas;Pedro Lagos;Sofia Tapia;Antonella Tapia;Antonella Tapia;Sofia Tapia;Camila Iturra;Ana Tapia;Sofia Perez;Pablo Vidal;Pablo Iturra;Antonella Rojas;Maria Silva;Diego Gonzalez;Camila Silva;Lucas Mendez;Antonella Mendez;Maria Vidal;Lucas Silva;Diego Tapia;Maria Rojas;Maria Lagos;Maria Perez;Pedro Iturra;Luis Tapia;Lucas Gonzalez;Juan Gonzalez;Camila Gonzalez;Lucas Perez;Sofia Iturra;Juan Rojas;Maria Gonzalez;Lucas Tapia;Pablo Contreras;Antonella Mendez;Sofia Lagos;Lucas Silva";9300000;4650000;4650000
22;InauguraciÃ³n Sucursal;16-01-26;06-02-26;SalonEventos1;La Florida;socio;17877848-0;;;;Gerente Operaciones;"Maria Vidal;Elena Rojas;Maria Lagos;Lucas Gonzalez;Ana Gonzalez;Maria Tapia;Antonella Lagos;Pedro Silva;Lucas Tapia;Antonella Gonzalez;Diego Vidal;Maria Silva;Camila Perez;Pedro Tapia;Luis Mendez;Juan Lagos;Luis Vidal;Maria Rojas;Diego Silva;Camila Gonzalez;Antonella Gonzalez;Ana Iturra;Elena Tapia;Pablo Lagos;Camila Silva;Sofia Tapia;Diego Silva;Juan Vidal;Pablo Rojas;Camila Silva;Luis Lagos;Luis Contreras;Camila Tapia;Maria Perez;Maria Lagos;Lucas Vidal;Luis Silva;Pedro Gonzalez;Elena Perez;Pedro Lagos;Juan Silva;Elena Lagos;Antonella Silva;Ana Perez;Maria Gonzalez";25700000;12850000;12850000
23;GraduaciÃ³n Escolar;17-11-25;04-02-26;SalonEventos2;Providencia;empresa-institucion;76.000.013-2;Bosque SpA;11809279-1;Casimiro Arancibia Duarte;Coordinador;"Pablo Gonzalez;Ana Lagos;Ana Mendez;Diego Perez;Maria Gonzalez;Sofia Iturra;Lucas Iturra;Antonella Mendez;Juan Contreras;Camila Contreras;Maria Perez;Pedro Perez;Ana Mendez;Pablo Rojas;Lucas Vidal;Elena Contreras;Elena Contreras;Lucas Perez;Diego Lagos;Antonella Mendez;Luis Silva;Juan Gonzalez;Sofia Tapia;Lucas Perez;Elena Contreras;Pablo Mendez;Pablo Iturra;Sofia Silva;Juan Silva;Luis Mendez;Diego Tapia;Luis Mendez;Lucas Vidal;Camila Vidal;Luis Rojas;Luis Contreras;Sofia Tapia;Elena Iturra;Luis Iturra;Juan Tapia;Luis Mendez;Lucas Vidal;Pedro Perez;Pedro Tapia;Pablo Mendez";13200000;6600000;6600000
24;ExposiciÃ³n de Arte;03-11-25;10-02-26;SalonEventos4;Santiago Centro;empresa-institucion;76.000.014-0;Altos SpA;19000184-9;Eulogio Estay Arancibia;Director;"Elena Contreras;Camila Mendez;Antonella Perez;Camila Vidal;Sofia Iturra;Elena Perez;Antonella Mendez;Camila Tapia;Pablo Contreras;Luis Vidal;Camila Silva;Lucas Mendez;Antonella Vidal;Juan Iturra;Maria Rojas;Ana Silva;Elena Lagos;Maria Mendez;Maria Contreras;Diego Perez;Lucas Vidal;Diego Tapia;Juan Mendez;Ana Vidal;Pedro Perez;Elena Mendez;Elena Contreras;Pablo Iturra;Elena Iturra;Maria Contreras;Sofia Vidal;Lucas Gonzalez;Maria Mendez;Diego Iturra;Camila Mendez;Juan Contreras;Camila Lagos;Lucas Contreras;Sofia Gonzalez;Pablo Lagos;Elena Silva;Juan Vidal;Luis Silva;Maria Silva;Camila Lagos";17900000;8950000;8950000
25;Desayuno de Negocios;14-12-25;27-02-26;SalonEventos1;Providencia;empresa-institucion;76.000.015-9;Nova SpA;12369957-2;Casimiro Ubilla Duarte;Socio;"Juan Silva;Luis Silva;Luis Contreras;Sofia Silva;Luis Mendez;Luis Silva;Camila Mendez;Ana Lagos;Juan Tapia;Antonella Mendez;Luis Gonzalez;Lucas Contreras;Lucas Gonzalez;Antonella Perez;Camila Rojas;Lucas Contreras;Diego Lagos;Lucas Vidal;Sofia Rojas;Camila Gonzalez;Pablo Vidal;Diego Vidal;Diego Silva;Pablo Mendez;Lucas Mendez;Luis Rojas;Pablo Silva;Ana Iturra;Pedro Silva;Maria Silva;Pedro Silva;Diego Mendez;Ana Rojas;Antonella Mendez;Sofia Lagos;Sofia Vidal;Camila Lagos;Pedro Iturra;Luis Vidal;Ana Iturra;Sofia Tapia;Ana Iturra;Pablo Vidal;Sofia Perez;Antonella Mendez";6400000;3200000;3200000
26;Fiesta de Disfraces;30-08-25;18-02-26;SalonEventos3;Santiago Centro;empresa-institucion;76.000.016-7;Prisma SpA;10556031-1;Gumersindo Olavarría Arancibia;Productor;"Camila Rojas;Pedro Lagos;Diego Rojas;Antonella Gonzalez;Lucas Iturra;Antonella Lagos;Pedro Contreras;Juan Lagos;Lucas Iturra;Camila Silva;Sofia Vidal;Ana Iturra;Juan Vidal;Ana Mendez;Sofia Vidal;Lucas Rojas;Camila Gonzalez;Camila Lagos;Pedro Gonzalez;Luis Mendez;Elena Iturra;Camila Rojas;Elena Tapia;Ana Perez;Elena Perez;Maria Gonzalez;Maria Perez;Diego Lagos;Luis Silva;Ana Mendez;Elena Rojas;Sofia Mendez;Pablo Rojas;Juan Iturra;Lucas Silva;Pedro Rojas;Lucas Vidal;Sofia Vidal;Maria Vidal;Elena Rojas;Antonella Silva;Antonella Silva;Antonella Rojas;Lucas Lagos;Elena Iturra";14100000;7050000;7050000
27;Encuentro Deportivo;06-10-25;10-02-26;SalonEventos1;Santiago Centro;empresa-institucion;76.000.017-5;Vértice SpA;23516865-0;Bernarda Duarte Benavides;CapitÃ¡n;"Pablo Contreras;Lucas Lagos;Diego Silva;Pedro Lagos;Ana Iturra;Lucas Mendez;Antonella Lagos;Juan Rojas;Camila Lagos;Ana Iturra;Maria Silva;Juan Tapia;Ana Silva;Maria Iturra;Elena Lagos;Luis Vidal;Lucas Vidal;Camila Vidal;Juan Perez;Sofia Vidal;Antonella Mendez;Diego Contreras;Antonella Silva;Maria Lagos;Luis Mendez;Luis Rojas;Lucas Lagos;Juan Contreras;Pedro Gonzalez;Pablo Mendez;Luis Lagos;Luis Silva;Camila Iturra;Pedro Tapia;Diego Silva;Antonella Contreras;Antonella Mendez;Camila Iturra;Maria Silva;Pablo Mendez;Luis Rojas;Elena Tapia;Ana Gonzalez;Sofia Tapia;Juan Tapia";8200000;4100000;4100000
28;Charla Motivacional;19-12-25;20-02-26;SalonEventos1;Providencia;empresa-institucion;76.000.018-3;Horizonte SpA;15505897-8;Filomena Olavarría Olavarría;Speaker;"Ana Iturra;Pablo Gonzalez;Lucas Perez;Sofia Tapia;Pedro Contreras;Pedro Iturra;Camila Tapia;Juan Silva;Diego Mendez;Sofia Lagos;Maria Gonzalez;Pablo Rojas;Lucas Contreras;Pablo Gonzalez;Antonella Rojas;Lucas Rojas;Pablo Silva;Diego Rojas;Maria Gonzalez;Camila Vidal;Ana Gonzalez;Camila Vidal;Lucas Rojas;Elena Lagos;Lucas Iturra;Camila Iturra;Pablo Iturra;Pedro Iturra;Juan Perez;Pedro Mendez;Lucas Gonzalez;Antonella Gonzalez;Pedro Gonzalez;Camila Tapia;Juan Vidal;Diego Lagos;Antonella Mendez;Sofia Iturra;Sofia Iturra;Pablo Contreras;Diego Tapia;Maria Lagos;Pedro Contreras;Luis Gonzalez;Lucas Contreras";10700000;5350000;5350000
