run_persona;nombre_completo;email;telefono_celular;telefono_alternativo;direccion_calle;comuna_nombre;region_codigo;region_nombre;tipo_persona;run_socio_titular;parentesco;fecha_nacimiento;fecha_inicio_membresia;fecha_fin_membresia;es_usuario_sistema;tipo_usuario;clave_en_texto_plano;sucursal_base_nombre
16543535-4;"beatriz ortiz espinoza";beatriz.ortiz590@mail.cl;979934259;;"av pedro de valdivia 2800";maipu;13;metropolitana;adicional;11606281-k;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
10631714-0;"oscar fuentes lagos";oscar.fuentes910@mail.cl;;;"av macul 600";"puente alto";13;metropolitana;adicional;22997716-4;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
23262614-3;"claudio nunez pardo";claudio.nunez16@mail.cl;;;"av alameda 1300";independencia;13;metropolitana;invitado;20484469-3;;;2025-01-01;2025-12-31;NO;;;"la florida"
17608709-0;"helena jara duarte";helena.jara530@mail.cl;920423017;;"av vitacura 2700";"san miguel";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave7464;"la florida"
8333120-3;"alvaro alvarez pardo";alvaro.alvarez364@mail.cl;;;"av vitacura 3500";"la reina";13;metropolitana;invitado;9848362-5;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
15502403-8;"enrique pardo lagos";enrique.pardo820@mail.cl;969955819;;"av providencia 2600";independencia;13;metropolitana;beneficiario;15182198-7;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
17130872-0;"javiera duarte iturra";javiera.duarte785@mail.cl;958566710;;"av alameda 3400";"santa cruz";6;o'higgins;invitado;24887596-8;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
17825979-3;"patricia pardo henriquez";patricia.pardo78@mail.cl;910299917;;"av macul 3900";"las condes";13;metropolitana;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
16676194-3;"oscar nunez pardo";oscar.nunez569@mail.cl;952349960;;"av apoquindo 900";"vina del mar";5;valparaiso;beneficiario;20848551-2;hijo;;2025-01-01;2025-12-31;NO;;;"santa cruz"
16804818-1;"loreto alvarez mendez";loreto.alvarez801@mail.cl;;;"av macul 2000";"la reina";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5253;providencia
5058856-4;"beatriz alvarez lagos";beatriz.alvarez585@mail.cl;941539434;;"av pedro de valdivia 3200";"santa cruz";6;o'higgins;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5855;providencia
20834216-9;"felicia galdames galdames";felicia.galdames967@mail.cl;988709811;;"av pedro de valdivia 1100";"la florida";13;metropolitana;adicional;5058856-4;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
12170069-7;"oscar contreras lagos";oscar.contreras815@mail.cl;994347859;;"av apoquindo 3000";"la reina";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave2142;providencia
16762187-4;"ignacio iturra fuentes";ignacio.iturra49@mail.cl;968158521;;"av gran avenida 1400";providencia;13;metropolitana;beneficiario;20848551-2;hijo;;2025-01-01;2025-12-31;NO;;;"santiago centro"
8652635-2;"beatriz alvarez henriquez";beatriz.alvarez606@mail.cl;989563588;;"av vicuna mackenna 2100";"santa cruz";6;o'higgins;invitado;22997716-4;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
8450105-7;"beatriz alvarez nunez";beatriz.alvarez547@mail.cl;949429098;;"av vicuna mackenna 1600";"puente alto";13;metropolitana;beneficiario;8554458-8;;;2025-01-01;2025-12-31;NO;;;"la florida"
19214930-5;"claudio espinoza fuentes";claudio.espinoza903@mail.cl;930287387;;"av recoleta 700";"puente alto";13;metropolitana;invitado;15182198-7;;;2025-01-01;2025-12-31;NO;;;providencia
8655536-0;"felicia iturra galdames";felicia.iturra373@mail.cl;929997767;;"av pedro de valdivia 1600";concepcion;8;biobio;invitado;9848362-5;;;2025-01-01;2025-12-31;NO;;;providencia
9122339-2;"javiera fuentes henriquez";javiera.fuentes211@mail.cl;;;"av macul 900";"san miguel";13;metropolitana;beneficiario;8554458-8;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
10924145-8;"ignacio jara jara";ignacio.jara301@mail.cl;;;"av gran avenida 2300";"vina del mar";5;valparaiso;invitado;15182198-7;;;2025-01-01;2025-12-31;NO;;;providencia
14612680-9;"patricia barrera espinoza";patricia.barrera247@mail.cl;;;"av irarrazaval 3000";"la florida";13;metropolitana;beneficiario;16804818-1;;;2025-01-01;2025-12-31;NO;;;providencia
7778091-2;"daniela lagos contreras";daniela.lagos659@mail.cl;923416391;;"av vitacura 300";providencia;13;metropolitana;invitado;20484469-3;;;2025-01-01;2025-12-31;NO;;;providencia
14443188-2;"daniela contreras iturra";daniela.contreras211@mail.cl;976121630;;"av vicuna mackenna 3500";providencia;13;metropolitana;administrativo;;;;2025-01-01;2025-12-31;SI;administrativo;clave1248;providencia
24692054-0;"loreto duarte quezada";loreto.duarte749@mail.cl;;;"av apoquindo 800";independencia;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5323;"santa cruz"
13404289-3;"gonzalo henriquez nunez";gonzalo.henriquez258@mail.cl;949544263;;"av vicuna mackenna 600";"las condes";13;metropolitana;adicional;20484469-3;;;2025-01-01;2025-12-31;NO;;;"la florida"
6117204-1;"claudio fuentes espinoza";claudio.fuentes202@mail.cl;980094252;;"av vicuna mackenna 4000";concepcion;8;biobio;adicional;11606281-k;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
13077056-4;"natalia alvarez fuentes";natalia.alvarez6@mail.cl;;;"av irarrazaval 3800";concepcion;8;biobio;beneficiario;16804818-1;hijo;;2025-01-01;2025-12-31;NO;;;providencia
21203982-9;"alvaro jara nunez";alvaro.jara286@mail.cl;928988531;;"av pedro de valdivia 200";providencia;13;metropolitana;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
7580760-0;"helena pardo lagos";helena.pardo200@mail.cl;;;"av vitacura 2800";maipu;13;metropolitana;invitado;20484469-3;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
24122122-9;"patricia henriquez jara";patricia.henriquez696@mail.cl;944800683;;"av vitacura 2600";"san miguel";13;metropolitana;invitado;24887596-8;;;2025-01-01;2025-12-31;NO;;;"la florida"
17862474-9;"patricia barrera pardo";patricia.barrera291@mail.cl;;;"av recoleta 2600";"la reina";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave6206;providencia
18738683-8;"ignacio jara contreras";ignacio.jara420@mail.cl;962345849;;"av pedro de valdivia 900";providencia;13;metropolitana;adicional;24692054-0;;;2025-01-01;2025-12-31;NO;;;"la florida"
8469998-1;"enrique nunez espinoza";enrique.nunez850@mail.cl;;;"av vicuna mackenna 2200";nunoa;13;metropolitana;invitado;20848551-2;;;2025-01-01;2025-12-31;NO;;;"la florida"
16736675-5;"felicia contreras pardo";felicia.contreras406@mail.cl;914890250;;"av alameda 200";"santa cruz";6;o'higgins;invitado;20848551-2;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
21124997-8;"mauricio jara jara";mauricio.jara197@mail.cl;970133697;;"av pedro de valdivia 2400";santiago;13;metropolitana;invitado;20484469-3;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
16701421-6;"felicia henriquez nunez";felicia.henriquez855@mail.cl;;;"av apoquindo 3200";providencia;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave9770;"santiago centro"
19414838-0;"beatriz ortiz alvarez";beatriz.ortiz636@mail.cl;;;"av alameda 100";concepcion;8;biobio;adicional;9848362-5;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
22924363-2;"beatriz jara ortiz";beatriz.jara251@mail.cl;;;"av alameda 1000";santiago;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave2604;"santiago centro"
12620839-1;"patricia quezada iturra";patricia.quezada959@mail.cl;;;"av vicuna mackenna 2700";"la florida";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave1434;"santiago centro"
21910612-2;"felicia duarte galdames";felicia.duarte186@mail.cl;;;"av vicuna mackenna 3300";providencia;13;metropolitana;adicional;15182198-7;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
5093909-9;"javiera barrera duarte";javiera.barrera151@mail.cl;;;"av vicuna mackenna 3000";concepcion;8;biobio;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave9372;providencia
17290542-4;"helena lagos iturra";helena.lagos572@mail.cl;;;"av gran avenida 3400";independencia;13;metropolitana;invitado;10336757-5;;;2025-01-01;2025-12-31;NO;;;"la florida"
19556227-9;"mauricio fuentes contreras";mauricio.fuentes35@mail.cl;;;"av apoquindo 3000";independencia;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave4629;"la florida"
17877848-0;"mauricio henriquez espinoza";mauricio.henriquez290@mail.cl;;;"av macul 1900";"la reina";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave2501;providencia
12735469-3;"daniela quezada nunez";daniela.quezada679@mail.cl;;;"av macul 2400";maipu;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave8136;"la florida"
10870089-0;"alvaro alvarez jara";alvaro.alvarez373@mail.cl;935143454;;"av alameda 3800";"vina del mar";5;valparaiso;adicional;5058856-4;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
16348232-0;"loreto fuentes espinoza";loreto.fuentes270@mail.cl;;;"av pedro de valdivia 3900";"la florida";13;metropolitana;adicional;20484469-3;;;2025-01-01;2025-12-31;NO;;;providencia
21265551-1;"enrique quezada mendez";enrique.quezada970@mail.cl;997286742;;"av recoleta 1400";"vina del mar";5;valparaiso;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave1807;"santiago centro"
6366890-5;"patricia espinoza fuentes";patricia.espinoza340@mail.cl;939080220;;"av vitacura 2500";nunoa;13;metropolitana;invitado;12170069-7;;;2025-01-01;2025-12-31;NO;;;providencia
20789127-4;"daniela henriquez duarte";daniela.henriquez662@mail.cl;;;"av gran avenida 2900";nunoa;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave8678;providencia
12617106-0;"natalia barrera espinoza";natalia.barrera466@mail.cl;951698710;;"av pedro de valdivia 400";"vina del mar";5;valparaiso;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
14963168-8;"loreto lagos iturra";loreto.lagos886@mail.cl;;;"av pedro de valdivia 1200";nunoa;13;metropolitana;beneficiario;12735469-3;hijo;;2025-01-01;2025-12-31;NO;;;"santiago centro"
22819447-6;"natalia alvarez nunez";natalia.alvarez775@mail.cl;942224879;;"av recoleta 2900";nunoa;13;metropolitana;invitado;15182198-7;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
8054887-4;"daniela quezada espinoza";daniela.quezada446@mail.cl;999659152;;"av recoleta 600";providencia;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave2885;providencia
7094460-5;"enrique contreras lagos";enrique.contreras279@mail.cl;997180262;;"av gran avenida 3800";"las condes";13;metropolitana;adicional;17877848-0;;;2025-01-01;2025-12-31;NO;;;providencia
18629604-7;"ignacio henriquez alvarez";ignacio.henriquez4@mail.cl;;;"av apoquindo 1700";maipu;13;metropolitana;adicional;6988932-3;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
16895363-1;"mauricio contreras iturra";mauricio.contreras361@mail.cl;977085850;;"av recoleta 3700";independencia;13;metropolitana;invitado;12620839-1;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
7249676-1;"natalia quezada quezada";natalia.quezada892@mail.cl;;;"av vicuna mackenna 1200";"la reina";13;metropolitana;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
6344903-3;"ignacio pardo pardo";ignacio.pardo145@mail.cl;951549356;;"av irarrazaval 900";santiago;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave7666;"la florida"
6016578-3;"natalia galdames contreras";natalia.galdames242@mail.cl;;;"av alameda 400";"vina del mar";5;valparaiso;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave6942;providencia
23267812-7;"loreto jara barrera";loreto.jara586@mail.cl;993197425;;"av vicuna mackenna 3700";"la reina";13;metropolitana;adicional;9848362-5;;;2025-01-01;2025-12-31;NO;;;providencia
15086420-2;"javiera mendez quezada";javiera.mendez350@mail.cl;;;"av vicuna mackenna 1400";"puente alto";13;metropolitana;adicional;21265551-1;;;2025-01-01;2025-12-31;NO;;;providencia
10386596-1;"felicia henriquez lagos";felicia.henriquez164@mail.cl;;;"av alameda 1100";"puente alto";13;metropolitana;adicional;6344903-3;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
21896425-6;"beatriz galdames espinoza";beatriz.galdames449@mail.cl;973744374;;"av gran avenida 2700";providencia;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave6759;"la florida"
23631346-1;"helena quezada fuentes";helena.quezada669@mail.cl;967265063;;"av vicuna mackenna 2700";"puente alto";13;metropolitana;invitado;5093909-9;;;2025-01-01;2025-12-31;NO;;;"la florida"
15913517-9;"gonzalo lagos mendez";gonzalo.lagos665@mail.cl;979130511;;"av irarrazaval 800";concepcion;8;biobio;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5232;providencia
13963797-6;"loreto espinoza fuentes";loreto.espinoza257@mail.cl;937922641;;"av providencia 1500";nunoa;13;metropolitana;adicional;17877848-0;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
12038700-6;"helena mendez barrera";helena.mendez349@mail.cl;911383220;;"av recoleta 1400";"las condes";13;metropolitana;invitado;8054887-4;;;2025-01-01;2025-12-31;NO;;;"la florida"
24928761-1;"claudio galdames barrera";claudio.galdames962@mail.cl;984818060;;"av recoleta 1200";"san miguel";13;metropolitana;invitado;24692054-0;;;2025-01-01;2025-12-31;NO;;;"la florida"
18059229-9;"daniela espinoza henriquez";daniela.espinoza844@mail.cl;941133505;;"av vicuna mackenna 1000";"la florida";13;metropolitana;adicional;16804818-1;;;2025-01-01;2025-12-31;NO;;;"la florida"
6161915-1;"mauricio barrera galdames";mauricio.barrera136@mail.cl;;;"av vicuna mackenna 3200";providencia;13;metropolitana;adicional;24692054-0;;;2025-01-01;2025-12-31;NO;;;providencia
17526820-0;"ignacio espinoza galdames";ignacio.espinoza382@mail.cl;;;"av irarrazaval 2000";santiago;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave9341;providencia
16103628-5;"helena alvarez mendez";helena.alvarez351@mail.cl;917109836;;"av pedro de valdivia 900";"la reina";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave9537;providencia
14034123-1;"patricia mendez henriquez";patricia.mendez277@mail.cl;972285901;;"av recoleta 2000";santiago;13;metropolitana;adicional;9848362-5;;;2025-01-01;2025-12-31;NO;;;providencia
24941085-3;"natalia contreras jara";natalia.contreras377@mail.cl;956080624;;"av pedro de valdivia 1300";"san miguel";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave1451;"santa cruz"
21325038-8;"loreto nunez henriquez";loreto.nunez456@mail.cl;;;"av recoleta 2600";"la florida";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave7838;providencia
6806967-4;"helena espinoza pardo";helena.espinoza96@mail.cl;995873386;;"av vicuna mackenna 1500";"santa cruz";6;o'higgins;invitado;22997716-4;;;2025-01-01;2025-12-31;NO;;;providencia
18257455-3;"kevin iturra nunez";kevin.iturra472@mail.cl;912185239;;"av recoleta 2300";"la reina";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave3376;"santiago centro"
24312148-5;"helena espinoza espinoza";helena.espinoza171@mail.cl;955274061;;"av alameda 600";"vina del mar";5;valparaiso;invitado;16804818-1;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
12089773-k;"javiera mendez jara";javiera.mendez290@mail.cl;914215655;;"av vicuna mackenna 1400";santiago;13;metropolitana;adicional;15913517-9;;;2025-01-01;2025-12-31;NO;;;providencia
21278182-2;"loreto nunez duarte";loreto.nunez351@mail.cl;;;"av irarrazaval 3400";concepcion;8;biobio;invitado;6344903-3;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
19997231-9;"enrique galdames pardo";enrique.galdames221@mail.cl;;;"av alameda 900";"las condes";13;metropolitana;invitado;16701421-6;;;2025-01-01;2025-12-31;NO;;;providencia
16775614-k;"oscar duarte galdames";oscar.duarte49@mail.cl;;;"av recoleta 3800";providencia;13;metropolitana;beneficiario;6344903-3;;;2025-01-01;2025-12-31;NO;;;"la florida"
14442087-k;"mauricio lagos jara";mauricio.lagos834@mail.cl;999735324;;"av irarrazaval 2700";concepcion;8;biobio;adicional;16804818-1;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
21753552-2;"alvaro galdames mendez";alvaro.galdames847@mail.cl;960366360;;"av recoleta 3500";independencia;13;metropolitana;adicional;12170069-7;;;2025-01-01;2025-12-31;NO;;;"la florida"
13457729-6;"beatriz espinoza ortiz";beatriz.espinoza724@mail.cl;942322394;;"av pedro de valdivia 3200";"vina del mar";5;valparaiso;invitado;6344903-3;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
14183097-k;"gonzalo pardo barrera";gonzalo.pardo402@mail.cl;962140993;;"av irarrazaval 4000";independencia;13;metropolitana;adicional;20789127-4;;;2025-01-01;2025-12-31;NO;;;"la florida"
19067421-4;"enrique henriquez contreras";enrique.henriquez818@mail.cl;;;"av vicuna mackenna 3000";maipu;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave7205;"la florida"
19068049-4;"beatriz lagos barrera";beatriz.lagos643@mail.cl;957516307;;"av irarrazaval 4000";"san miguel";13;metropolitana;beneficiario;17608709-0;;;2025-01-01;2025-12-31;NO;;;providencia
14555412-5;"loreto iturra mendez";loreto.iturra646@mail.cl;915961861;;"av alameda 1800";"san miguel";13;metropolitana;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
19643298-2;"enrique fuentes espinoza";enrique.fuentes72@mail.cl;964822416;;"av gran avenida 2100";providencia;13;metropolitana;adicional;5058856-4;;;2025-01-01;2025-12-31;NO;;;"la florida"
12541628-1;"mauricio contreras espinoza";mauricio.contreras753@mail.cl;;;"av irarrazaval 600";"puente alto";13;metropolitana;beneficiario;20789127-4;;;2025-01-01;2025-12-31;NO;;;providencia
22213462-5;"daniela mendez galdames";daniela.mendez483@mail.cl;926637431;;"av macul 1100";maipu;13;metropolitana;adicional;6988932-3;;;2025-01-01;2025-12-31;NO;;;providencia
24391581-2;"enrique iturra ortiz";enrique.iturra939@mail.cl;;;"av alameda 2700";santiago;13;metropolitana;adicional;12620839-1;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
23621802-2;"alvaro ortiz alvarez";alvaro.ortiz764@mail.cl;957193286;;"av irarrazaval 3500";"la reina";13;metropolitana;invitado;16804818-1;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
11762219-3;"oscar fuentes galdames";oscar.fuentes528@mail.cl;;;"av recoleta 2200";providencia;13;metropolitana;beneficiario;21265551-1;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
8447177-2;"oscar quezada espinoza";oscar.quezada248@mail.cl;963913302;;"av vitacura 3800";providencia;13;metropolitana;adicional;5058856-4;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
