run_persona;nombre_completo;email;telefono_celular;telefono_alternativo;direccion_calle;comuna_nombre;region_codigo;region_nombre;tipo_persona;run_socio_titular;parentesco;fecha_nacimiento;fecha_inicio_membresia;fecha_fin_membresia;es_usuario_sistema;tipo_usuario;clave_en_texto_plano;sucursal_base_nombre
11835660-8;Beatriz Nuñez Nuñez;beatriz.nunez616@mail.cl;238270;;Av Vicu�a Mackenna 1000;Independencia;13;Metropolitana;adicional;10336757-5;abuelo;22-08-98;01-01-25;31-12-25;NO;;;Santiago Centro
19841440-9;Claudio Contreras Duarte;claudio.contreras771@mail.cl;920096047;;Av Irarrazaval 2500;Nunoa;13;Metropolitana;adicional;10336757-5;hijo;25-06-84;01-01-25;31-12-25;NO;;;Providencia
17254917-4;Beatriz Nuñez Fuentes;beatriz.nunez348@mail.cl;969105103;;Av Recoleta 2100;Santiago;13;Metropolitana;adicional;24887596-8;hijo;05-04-98;01-01-25;31-12-25;NO;;;La Florida
21350733-8;Kevin Quezada Galdames;kevin.quezada94@mail.cl;982880079;;Av Vitacura 600;Concepcion;8;BioBio;adicional;24887596-8;primo;09-12-84;01-01-25;31-12-25;NO;;;Providencia
7339507-0;Enrique Ortiz Henriquez;enrique.ortiz488@mail.cl;981109079;;Av Recoleta 100;San Miguel;13;Metropolitana;invitado;10336757-5;madre;01-01-90;01-01-25;31-12-25;NO;;;La Florida
17456317-9;Kevin Galdames Contreras;kevin.galdames474@mail.cl;519573;;Av Alameda 600;La Reina;13;Metropolitana;adicional;24887596-8;abuela;13-10-04;01-01-25;31-12-25;NO;;;La Florida
18362550-3;Alvaro Lagos Iturra;alvaro.lagos547@mail.cl;916003336;982068333.0;Av Recoleta 100;La Reina;13;Metropolitana;adicional;24887596-8;primo;15-07-68;01-01-25;31-12-25;NO;;;Santiago Centro
11606281-K;Claudio Quezada Ortiz;claudio.quezada783@mail.cl;915107501;;Av Providencia 700;Santiago;13;Metropolitana;socio_titular;;;27-06-94;01-01-25;31-12-25;SI;socio;clave5823;Santiago Centro
20550776-8;Natalia Contreras Barrera;natalia.contreras144@mail.cl;973442070;;Av Vitacura 3400;Santa Cruz;6;O'Higgins;adicional;24887596-8;primo;19-08-03;01-01-25;31-12-25;NO;;;Santa Cruz
19265921-1;Patricia Ortiz Duarte;patricia.ortiz706@mail.cl;911393776;997035703.0;Av Gran Avenida 800;Santa Cruz;6;O'Higgins;beneficiario;24887596-8;hijo;09-09-66;01-01-25;31-12-25;NO;;;Providencia
23517252-3;Enrique Quezada Ortiz;enrique.quezada54@mail.cl;223232;972583581.0;Av Vicu�a Mackenna 700;Independencia;13;Metropolitana;adicional;11606281-K;primo;14-08-69;01-01-25;31-12-25;NO;;;La Florida
6988932-3;Felicia Quezada Fuentes;felicia.quezada38@mail.cl;953758269;;Av Providencia 200;Las Condes;13;Metropolitana;socio_titular;;;09-03-63;01-01-25;31-12-25;SI;socio;clave7421;La Florida
5011347-7;Natalia Iturra Contreras;natalia.iturra109@mail.cl;983787996;972003207.0;Av Recoleta 3100;Santa Cruz;6;O'Higgins;adicional;24887596-8;hijo;04-09-75;01-01-25;31-12-25;NO;;;Providencia
21752061-4;Natalia Nuñez Galdames;natalia.nunez176@mail.cl;133737;963683652.0;Av Providencia 2000;Santiago;13;Metropolitana;invitado;11606281-K;madre;22-12-59;01-01-25;31-12-25;NO;;;Santiago Centro
24419839-2;Enrique Pardo Contreras;enrique.pardo430@mail.cl;947144463;;Av Apoquindo 1500;Maipu;13;Metropolitana;invitado;24887596-8;c—nyuge;11-03-86;01-01-25;31-12-25;NO;;;Providencia
23038040-6;Enrique Jara Pardo;enrique.jara621@mail.cl;947288839;;Av Providencia 2600;Concepcion;8;BioBio;adicional;24887596-8;abuelo;08-06-92;01-01-25;31-12-25;NO;;;Santiago Centro
24574068-9;Javiera Pardo Alvarez;javiera.pardo811@mail.cl;956068669;979851888.0;Av Irarrazaval 2100;San Miguel;13;Metropolitana;invitado;11606281-K;c—nyuge;28-02-76;01-01-25;31-12-25;NO;;;Santiago Centro
12269915-3;Ignacio Nuñez Barrera;ignacio.nunez791@mail.cl;912852709;969123805.0;Av Gran Avenida 2800;Vina del Mar;5;Valparaiso;adicional;24887596-8;padre;12-03-78;01-01-25;31-12-25;NO;;;Providencia
24942622-9;Helena Duarte Contreras;helena.duarte603@mail.cl;311013;;Av Vicu�a Mackenna 400;Santiago;13;Metropolitana;invitado;11606281-K;padre;03-11-96;01-01-25;31-12-25;NO;;;Providencia
22134702-1;Felicia Alvarez Alvarez;felicia.alvarez679@mail.cl;924685920;943020029.0;Av Apoquindo 1400;Las Condes;13;Metropolitana;adicional;6988932-3;hijo;-1990;01-01-25;31-12-25;NO;;;Santiago Centro
8554458-8;Javiera Mendez Fuentes;javiera.mendez259@mail.cl;493315;;Av Irarrazaval 1800;Concepcion;8;BioBio;socio_titular;;;1990-01;01-01-25;31-12-25;SI;socio;clave1277;La Florida
20484469-3;Patricia Pardo Fuentes;patricia.pardo366@mail.cl;368240;;Av Macul 900;La Florida;13;Metropolitana;socio_titular;;;11-09-95;01-01-25;31-12-25;SI;socio;clave5625;Santa Cruz
15891435-5;Enrique Lagos Alvarez;enrique.lagos45@mail.cl;930226248;943667692.0;Av Alameda 1600;La Florida;13;Metropolitana;adicional;10336757-5;prima;12-11-65;01-01-25;31-12-25;NO;;;Santiago Centro
20848551-2;Daniela Henriquez Fuentes;daniela.henriquez504@mail.cl;591091;933239430.0;Av Apoquindo 200;La Florida;13;Metropolitana;socio_titular;;;28-06-50;01-01-25;31-12-25;SI;socio;clave8398;Santa Cruz
22997716-4;Natalia Duarte Nuñez;natalia.duarte638@mail.cl;418209;989414475.0;Av Vicu�a Mackenna 3600;Concepcion;8;BioBio;socio_titular;;;13-07-60;01-01-25;31-12-25;SI;socio;clave5845;Providencia
24229352-0;Daniela Quezada Quezada;daniela.quezada862@mail.cl;355107;;Av Macul 2500;Santiago;13;Metropolitana;invitado;24887596-8;madre;01-01-90;01-01-25;31-12-25;NO;;;Providencia
15182198-7;Patricia Duarte Espinoza;patricia.duarte537@mail.cl;985713232;939203614.0;Av Gran Avenida 1800;Vina del Mar;5;Valparaiso;socio_titular;;;17-08-57;01-01-25;31-12-25;SI;socio;clave3126;Santa Cruz
12380211-K;Kevin Mendez Contreras;kevin.mendez576@mail.cl;592285;997342222.0;Av Pedro de Valdivia 500;Santiago;13;Metropolitana;invitado;22997716-4;abuela;04-05-61;01-01-25;31-12-25;NO;;;Providencia
9848362-5;Ignacio Quezada Henriquez;ignacio.quezada643@mail.cl;762193;963515094.0;Av Providencia 3700;Santa Cruz;6;O'Higgins;socio_titular;;;1990-01;01-01-25;31-12-25;SI;socio;clave8088;Santa Cruz
10482557-8;Javiera Iturra Nuñez;javiera.iturra893@mail.cl;595866;989170519.0;Av Vicu�a Mackenna 700;Santiago;13;Metropolitana;adicional;11606281-K;padre;-1990;01-01-25;31-12-25;NO;;;Santa Cruz
7085505-5;Alvaro Espinoza Pardo;alvaro.espinoza55@mail.cl;242476;983100109.0;Av Recoleta 1500;Providencia;13;Metropolitana;adicional;22997716-4;madre;01-01-90;01-01-25;31-12-25;NO;;;Santiago Centro
16543535-4;Beatriz Ortiz Espinoza;beatriz.ortiz590@mail.cl;979934259;;Av Pedro de Valdivia 2800;Maipu;13;Metropolitana;adicional;11606281-K;abuela;-1990;01-01-25;31-12-25;NO;;;Santiago Centro
10631714-0;Oscar Fuentes Lagos;oscar.fuentes910@mail.cl;841376;928624426.0;Av Macul 600;Puente Alto;13;Metropolitana;adicional;22997716-4;madre;02-02-82;01-01-25;31-12-25;NO;;;Santa Cruz
23262614-3;Claudio Nuñez Pardo;claudio.nunez16@mail.cl;628360;983795836.0;Av Alameda 1300;Independencia;13;Metropolitana;invitado;20484469-3;primo;01-08-00;01-01-25;31-12-25;NO;;;La Florida
17608709-0;Helena Jara Duarte;helena.jara530@mail.cl;920423017;924375815.0;Av Vitacura 2700;San Miguel;13;Metropolitana;socio_titular;;;22-05-65;01-01-25;31-12-25;SI;socio;clave7464;La Florida
8333120-3;Alvaro Alvarez Pardo;alvaro.alvarez364@mail.cl;552641;921661133.0;Av Vitacura 3500;La Reina;13;Metropolitana;invitado;9848362-5;madre;19-09-57;01-01-25;31-12-25;NO;;;Santa Cruz
15502403-8;Enrique Pardo Lagos;enrique.pardo820@mail.cl;969955819;;Av Providencia 2600;Independencia;13;Metropolitana;beneficiario;15182198-7;c—nyuge;23-05-92;01-01-25;31-12-25;NO;;;Santa Cruz
17130872-0;Javiera Duarte Iturra;javiera.duarte785@mail.cl;958566710;;Av Alameda 3400;Santa Cruz;6;O'Higgins;invitado;24887596-8;abuela;1990-01;01-01-25;31-12-25;NO;;;Santa Cruz
17825979-3;Patricia Pardo Henriquez;patricia.pardo78@mail.cl;910299917;916128604.0;Av Macul 3900;Las Condes;13;Metropolitana;adicional;10336757-5;primo;09-05-63;01-01-25;31-12-25;NO;;;Santiago Centro
16676194-3;Oscar Nuñez Pardo;oscar.nunez569@mail.cl;952349960;935655240.0;Av Apoquindo 900;Vina del Mar;5;Valparaiso;beneficiario;20848551-2;hijo;19-04-63;01-01-25;31-12-25;NO;;;Santa Cruz
16804818-1;Loreto Alvarez Mendez;loreto.alvarez801@mail.cl;295377;922366544.0;Av Macul 2000;La Reina;13;Metropolitana;socio_titular;;;14-03-67;01-01-25;31-12-25;SI;socio;clave5253;Providencia
5058856-4;Beatriz Alvarez Lagos;beatriz.alvarez585@mail.cl;941539434;961411822.0;Av Pedro de Valdivia 3200;Santa Cruz;6;O'Higgins;socio_titular;;;01-11-61;01-01-25;31-12-25;SI;socio;clave5855;Providencia
20834216-9;Felicia Galdames Galdames;felicia.galdames967@mail.cl;988709811;;Av Pedro de Valdivia 1100;La Florida;13;Metropolitana;adicional;5058856-4;primo;01-01-02;01-01-25;31-12-25;NO;;;Santiago Centro
12170069-7;Oscar Contreras Lagos;oscar.contreras815@mail.cl;994347859;938027041.0;Av Apoquindo 3000;La Reina;13;Metropolitana;socio_titular;;;27-07-71;01-01-25;31-12-25;SI;socio;clave2142;Providencia
16762187-4;Ignacio Iturra Fuentes;ignacio.iturra49@mail.cl;968158521;;Av Gran Avenida 1400;Providencia;13;Metropolitana;beneficiario;20848551-2;hijo;16-01-57;01-01-25;31-12-25;NO;;;Santiago Centro
8652635-2;Beatriz Alvarez Henriquez;beatriz.alvarez606@mail.cl;989563588;931335928.0;Av Vicu�a Mackenna 2100;Santa Cruz;6;O'Higgins;invitado;22997716-4;primo;12-06-72;01-01-25;31-12-25;NO;;;Santiago Centro
8450105-7;Beatriz Alvarez Nuñez;beatriz.alvarez547@mail.cl;949429098;;Av Vicu�a Mackenna 1600;Puente Alto;13;Metropolitana;beneficiario;8554458-8;c—nyuge;06-06-80;01-01-25;31-12-25;NO;;;La Florida
19214930-5;Claudio Espinoza Fuentes;claudio.espinoza903@mail.cl;930287387;977892363.0;Av Recoleta 700;Puente Alto;13;Metropolitana;invitado;15182198-7;prima;20-09-58;01-01-25;31-12-25;NO;;;Providencia
8655536-0;Felicia Iturra Galdames;felicia.iturra373@mail.cl;929997767;976608183.0;Av Pedro de Valdivia 1600;Concepcion;8;BioBio;invitado;9848362-5;primo;20-06-68;01-01-25;31-12-25;NO;;;Providencia
9122339-2;Javiera Fuentes Henriquez;javiera.fuentes211@mail.cl;52505;963781078.0;Av Macul 900;San Miguel;13;Metropolitana;beneficiario;8554458-8;c—nyuge;22-07-66;01-01-25;31-12-25;NO;;;Santiago Centro
10924145-8;Ignacio Jara Jara;ignacio.jara301@mail.cl;559676;986037010.0;Av Gran Avenida 2300;Vina del Mar;5;Valparaiso;invitado;15182198-7;prima;01-01-90;01-01-25;31-12-25;NO;;;Providencia
14612680-9;Patricia Barrera Espinoza;patricia.barrera247@mail.cl;807218;937278882.0;Av Irarrazaval 3000;La Florida;13;Metropolitana;beneficiario;16804818-1;c—nyuge;-1990;01-01-25;31-12-25;NO;;;Providencia
7778091-2;Daniela Lagos Contreras;daniela.lagos659@mail.cl;923416391;;Av Vitacura 300;Providencia;13;Metropolitana;invitado;20484469-3;abuelo;03-05-83;01-01-25;31-12-25;NO;;;Providencia
14443188-2;Daniela Contreras Iturra;daniela.contreras211@mail.cl;976121630;;Av Vicu�a Mackenna 3500;Providencia;13;Metropolitana;administrativo;;;06-11-99;01-01-25;31-12-25;SI;administrativo;clave1248;Providencia
24692054-0;Loreto Duarte Quezada;loreto.duarte749@mail.cl;463774;988720261.0;Av Apoquindo 800;Independencia;13;Metropolitana;socio_titular;;;24-07-73;01-01-25;31-12-25;SI;socio;clave5323;Santa Cruz
13404289-3;Gonzalo Henriquez Nuñez;gonzalo.henriquez258@mail.cl;949544263;911943978.0;Av Vicu�a Mackenna 600;Las Condes;13;Metropolitana;adicional;20484469-3;padre;01-01-90;01-01-25;31-12-25;NO;;;La Florida
6117204-1;Claudio Fuentes Espinoza;claudio.fuentes202@mail.cl;980094252;930305675.0;Av Vicu�a Mackenna 4000;Concepcion;8;BioBio;adicional;11606281-K;madre;24-03-96;01-01-25;31-12-25;NO;;;Santiago Centro
13077056-4;Natalia Alvarez Fuentes;natalia.alvarez6@mail.cl;492046;913917385.0;Av Irarrazaval 3800;Concepcion;8;BioBio;beneficiario;16804818-1;hijo;1990-01;01-01-25;31-12-25;NO;;;Providencia
21203982-9;Alvaro Jara Nuñez;alvaro.jara286@mail.cl;928988531;;Av Pedro de Valdivia 200;Providencia;13;Metropolitana;adicional;10336757-5;madre;09-04-00;01-01-25;31-12-25;NO;;;Santiago Centro
7580760-0;Helena Pardo Lagos;helena.pardo200@mail.cl;360503;967754685.0;Av Vitacura 2800;Maipu;13;Metropolitana;invitado;20484469-3;abuela;04-08-76;01-01-25;31-12-25;NO;;;Santiago Centro
24122122-9;Patricia Henriquez Jara;patricia.henriquez696@mail.cl;944800683;969060386.0;Av Vitacura 2600;San Miguel;13;Metropolitana;invitado;24887596-8;c—nyuge;19-10-84;01-01-25;31-12-25;NO;;;La Florida
17862474-9;Patricia Barrera Pardo;patricia.barrera291@mail.cl;557802;;Av Recoleta 2600;La Reina;13;Metropolitana;socio_titular;;;01-01-90;01-01-25;31-12-25;SI;socio;clave6206;Providencia
18738683-8;Ignacio Jara Contreras;ignacio.jara420@mail.cl;962345849;954362310.0;Av Pedro de Valdivia 900;Providencia;13;Metropolitana;adicional;24692054-0;abuela;27-07-75;01-01-25;31-12-25;NO;;;La Florida
8469998-1;Enrique Nuñez Espinoza;enrique.nunez850@mail.cl;474115;;Av Vicu�a Mackenna 2200;Nunoa;13;Metropolitana;invitado;20848551-2;padre;24-03-00;01-01-25;31-12-25;NO;;;La Florida
16736675-5;Felicia Contreras Pardo;felicia.contreras406@mail.cl;914890250;;Av Alameda 200;Santa Cruz;6;O'Higgins;invitado;20848551-2;c—nyuge;19-09-00;01-01-25;31-12-25;NO;;;Santiago Centro
21124997-8;Mauricio Jara Jara;mauricio.jara197@mail.cl;970133697;973173647.0;Av Pedro de Valdivia 2400;Santiago;13;Metropolitana;invitado;20484469-3;primo;22-01-90;01-01-25;31-12-25;NO;;;Santa Cruz
16701421-6;Felicia Henriquez Nuñez;felicia.henriquez855@mail.cl;744784;;Av Apoquindo 3200;Providencia;13;Metropolitana;socio_titular;;;04-03-58;01-01-25;31-12-25;SI;socio;clave9770;Santiago Centro
19414838-0;Beatriz Ortiz Alvarez;beatriz.ortiz636@mail.cl;99158;;Av Alameda 100;Concepcion;8;BioBio;adicional;9848362-5;primo;14-01-79;01-01-25;31-12-25;NO;;;Santiago Centro
22924363-2;Beatriz Jara Ortiz;beatriz.jara251@mail.cl;120932;;Av Alameda 1000;Santiago;13;Metropolitana;socio_titular;;;07-10-68;01-01-25;31-12-25;SI;socio;clave2604;Santiago Centro
12620839-1;Patricia Quezada Iturra;patricia.quezada959@mail.cl;306257;;Av Vicu�a Mackenna 2700;La Florida;13;Metropolitana;socio_titular;;;17-12-60;01-01-25;31-12-25;SI;socio;clave1434;Santiago Centro
21910612-2;Felicia Duarte Galdames;felicia.duarte186@mail.cl;827457;943869148.0;Av Vicu�a Mackenna 3300;Providencia;13;Metropolitana;adicional;15182198-7;prima;09-10-80;01-01-25;31-12-25;NO;;;Santiago Centro
5093909-9;Javiera Barrera Duarte;javiera.barrera151@mail.cl;488151;972167403.0;Av Vicu�a Mackenna 3000;Concepcion;8;BioBio;socio_titular;;;10-03-77;01-01-25;31-12-25;SI;socio;clave9372;Providencia
17290542-4;Helena Lagos Iturra;helena.lagos572@mail.cl;676463;931901083.0;Av Gran Avenida 3400;Independencia;13;Metropolitana;invitado;10336757-5;abuelo;-1990;01-01-25;31-12-25;NO;;;La Florida
19556227-9;Mauricio Fuentes Contreras;mauricio.fuentes35@mail.cl;180126;975871049.0;Av Apoquindo 3000;Independencia;13;Metropolitana;socio_titular;;;07-11-02;01-01-25;31-12-25;SI;socio;clave4629;La Florida
17877848-0;Mauricio Henriquez Espinoza;mauricio.henriquez290@mail.cl;58330;945513889.0;Av Macul 1900;La Reina;13;Metropolitana;socio_titular;;;-1990;01-01-25;31-12-25;SI;socio;clave2501;Providencia
12735469-3;Daniela Quezada Nuñez;daniela.quezada679@mail.cl;928817;932388016.0;Av Macul 2400;Maipu;13;Metropolitana;socio_titular;;;26-07-82;01-01-25;31-12-25;SI;socio;clave8136;La Florida
10870089-0;Alvaro Alvarez Jara;alvaro.alvarez373@mail.cl;935143454;;Av Alameda 3800;Vina del Mar;5;Valparaiso;adicional;5058856-4;padre;13-07-84;01-01-25;31-12-25;NO;;;Santa Cruz
16348232-0;Loreto Fuentes Espinoza;loreto.fuentes270@mail.cl;314754;997722000.0;Av Pedro de Valdivia 3900;La Florida;13;Metropolitana;adicional;20484469-3;padre;21-08-89;01-01-25;31-12-25;NO;;;Providencia
21265551-1;Enrique Quezada Mendez;enrique.quezada970@mail.cl;997286742;;Av Recoleta 1400;Vina del Mar;5;Valparaiso;socio_titular;;;-1990;01-01-25;31-12-25;SI;socio;clave1807;Santiago Centro
6366890-5;Patricia Espinoza Fuentes;patricia.espinoza340@mail.cl;939080220;977660881.0;Av Vitacura 2500;Nunoa;13;Metropolitana;invitado;12170069-7;abuela;05-11-61;01-01-25;31-12-25;NO;;;Providencia
20789127-4;Daniela Henriquez Duarte;daniela.henriquez662@mail.cl;348031;;Av Gran Avenida 2900;Nunoa;13;Metropolitana;socio_titular;;;10-07-77;01-01-25;31-12-25;SI;socio;clave8678;Providencia
12617106-0;Natalia Barrera Espinoza;natalia.barrera466@mail.cl;951698710;913628372.0;Av Pedro de Valdivia 400;Vina del Mar;5;Valparaiso;adicional;10336757-5;madre;11-04-95;01-01-25;31-12-25;NO;;;Santa Cruz
14963168-8;Loreto Lagos Iturra;loreto.lagos886@mail.cl;138476;961864788.0;Av Pedro de Valdivia 1200;Nunoa;13;Metropolitana;beneficiario;12735469-3;hijo;1990-01;01-01-25;31-12-25;NO;;;Santiago Centro
22819447-6;Natalia Alvarez Nuñez;natalia.alvarez775@mail.cl;942224879;962864683.0;Av Recoleta 2900;Nunoa;13;Metropolitana;invitado;15182198-7;madre;04-06-79;01-01-25;31-12-25;NO;;;Santa Cruz
8054887-4;Daniela Quezada Espinoza;daniela.quezada446@mail.cl;999659152;987041530.0;Av Recoleta 600;Providencia;13;Metropolitana;socio_titular;;;09-05-01;01-01-25;31-12-25;SI;socio;clave2885;Providencia
7094460-5;Enrique Contreras Lagos;enrique.contreras279@mail.cl;997180262;976933286.0;Av Gran Avenida 3800;Las Condes;13;Metropolitana;adicional;17877848-0;madre;09-01-61;01-01-25;31-12-25;NO;;;Providencia
18629604-7;Ignacio Henriquez Alvarez;ignacio.henriquez4@mail.cl;664891;952970836.0;Av Apoquindo 1700;Maipu;13;Metropolitana;adicional;6988932-3;abuela;04-02-82;01-01-25;31-12-25;NO;;;Santiago Centro
16895363-1;Mauricio Contreras Iturra;mauricio.contreras361@mail.cl;977085850;;Av Recoleta 3700;Independencia;13;Metropolitana;invitado;12620839-1;c—nyuge;01-01-90;01-01-25;31-12-25;NO;;;Santa Cruz
7249676-1;Natalia Quezada Quezada;natalia.quezada892@mail.cl;338884;;Av Vicu�a Mackenna 1200;La Reina;13;Metropolitana;adicional;24887596-8;prima;05-08-53;01-01-25;31-12-25;NO;;;Santa Cruz
6344903-3;Ignacio Pardo Pardo;ignacio.pardo145@mail.cl;951549356;;Av Irarrazaval 900;Santiago;13;Metropolitana;socio_titular;;;16-04-59;01-01-25;31-12-25;SI;socio;clave7666;La Florida
6016578-3;Natalia Galdames Contreras;natalia.galdames242@mail.cl;78856;;Av Alameda 400;Vina del Mar;5;Valparaiso;socio_titular;;;01-01-90;01-01-25;31-12-25;SI;socio;clave6942;Providencia
23267812-7;Loreto Jara Barrera;loreto.jara586@mail.cl;993197425;959049508.0;Av Vicu�a Mackenna 3700;La Reina;13;Metropolitana;adicional;9848362-5;madre;23-10-84;01-01-25;31-12-25;NO;;;Providencia
15086420-2;Javiera Mendez Quezada;javiera.mendez350@mail.cl;492806;965080231.0;Av Vicu�a Mackenna 1400;Puente Alto;13;Metropolitana;adicional;21265551-1;prima;-1990;01-01-25;31-12-25;NO;;;Providencia
10386596-1;Felicia Henriquez Lagos;felicia.henriquez164@mail.cl;885174;;Av Alameda 1100;Puente Alto;13;Metropolitana;adicional;6344903-3;abuela;01-01-90;01-01-25;31-12-25;NO;;;Santa Cruz
21896425-6;Beatriz Galdames Espinoza;beatriz.galdames449@mail.cl;973744374;954711344.0;Av Gran Avenida 2700;Providencia;13;Metropolitana;socio_titular;;;18-06-90;01-01-25;31-12-25;SI;socio;clave6759;La Florida
23631346-1;Helena Quezada Fuentes;helena.quezada669@mail.cl;967265063;920951544.0;Av Vicu�a Mackenna 2700;Puente Alto;13;Metropolitana;invitado;5093909-9;padre;07-09-00;01-01-25;31-12-25;NO;;;La Florida
15913517-9;Gonzalo Lagos Mendez;gonzalo.lagos665@mail.cl;979130511;;Av Irarrazaval 800;Concepcion;8;BioBio;socio_titular;;;16-05-03;01-01-25;31-12-25;SI;socio;clave5232;Providencia
13963797-6;Loreto Espinoza Fuentes;loreto.espinoza257@mail.cl;937922641;;Av Providencia 1500;Nunoa;13;Metropolitana;adicional;17877848-0;hijo;19-08-82;01-01-25;31-12-25;NO;;;Santa Cruz
12038700-6;Helena Mendez Barrera;helena.mendez349@mail.cl;911383220;910413238.0;Av Recoleta 1400;Las Condes;13;Metropolitana;invitado;8054887-4;hijo;18-04-53;01-01-25;31-12-25;NO;;;La Florida
24928761-1;Claudio Galdames Barrera;claudio.galdames962@mail.cl;984818060;947337592.0;Av Recoleta 1200;San Miguel;13;Metropolitana;invitado;24692054-0;prima;01-05-72;01-01-25;31-12-25;NO;;;La Florida
18059229-9;Daniela Espinoza Henriquez;daniela.espinoza844@mail.cl;941133505;;Av Vicu�a Mackenna 1000;La Florida;13;Metropolitana;adicional;16804818-1;prima;08-09-59;01-01-25;31-12-25;NO;;;La Florida
6161915-1;Mauricio Barrera Galdames;mauricio.barrera136@mail.cl;523029;939565170.0;Av Vicu�a Mackenna 3200;Providencia;13;Metropolitana;adicional;24692054-0;primo;14-07-88;01-01-25;31-12-25;NO;;;Providencia
17526820-0;Ignacio Espinoza Galdames;ignacio.espinoza382@mail.cl;906932;;Av Irarrazaval 2000;Santiago;13;Metropolitana;socio_titular;;;03-06-63;01-01-25;31-12-25;SI;socio;clave9341;Providencia
16103628-5;Helena Alvarez Mendez;helena.alvarez351@mail.cl;917109836;968272036.0;Av Pedro de Valdivia 900;La Reina;13;Metropolitana;socio_titular;;;-1990;01-01-25;31-12-25;SI;socio;clave9537;Providencia
14034123-1;Patricia Mendez Henriquez;patricia.mendez277@mail.cl;972285901;996413926.0;Av Recoleta 2000;Santiago;13;Metropolitana;adicional;9848362-5;padre;25-05-58;01-01-25;31-12-25;NO;;;Providencia
24941085-3;Natalia Contreras Jara;natalia.contreras377@mail.cl;956080624;922192814.0;Av Pedro de Valdivia 1300;San Miguel;13;Metropolitana;socio_titular;;;10-06-05;01-01-25;31-12-25;SI;socio;clave1451;Santa Cruz
21325038-8;Loreto Nuñez Henriquez;loreto.nunez456@mail.cl;208501;968170098.0;Av Recoleta 2600;La Florida;13;Metropolitana;socio_titular;;;15-11-89;01-01-25;31-12-25;SI;socio;clave7838;Providencia
6806967-4;Helena Espinoza Pardo;helena.espinoza96@mail.cl;995873386;922069170.0;Av Vicu�a Mackenna 1500;Santa Cruz;6;O'Higgins;invitado;22997716-4;primo;24-03-83;01-01-25;31-12-25;NO;;;Providencia
18257455-3;Kevin Iturra Nuñez;kevin.iturra472@mail.cl;912185239;964140452.0;Av Recoleta 2300;La Reina;13;Metropolitana;socio_titular;;;17-03-91;01-01-25;31-12-25;SI;socio;clave3376;Santiago Centro
24312148-5;Helena Espinoza Espinoza;helena.espinoza171@mail.cl;955274061;;Av Alameda 600;Vina del Mar;5;Valparaiso;invitado;16804818-1;madre;-1990;01-01-25;31-12-25;NO;;;Santiago Centro
