codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago
;15-03-25;15-03-25 17:00;15-03-25 18:00;cancelada;24967582-2;Maria Gonzalez;SI;Salon Eventos 3 X;Santa Cruz;100000;0;;12-03-25
;04-01-25;04-01-25 22:00;04-01-25 23:00;reservada;16968310-7;Luis Contreras;NO;Piscina 1;Providencia;20000;0;;02-01-25
;13-12-25;13-12-25;21-12-25;ejecutada;21178138-6;Ana Silva;SI;Caba–a 2;La Florida;960000;960000;efectivo;13-12-25
;17-08-25;17-08-25;20-08-25;ejecutada;5643136-5;Juan Perez;NO;Caba–a 17;Providencia;360000;360000;efectivo;14-08-25
;01-12-25;01-12-25;05-12-25;reservada;18468277-K;Luis Contreras;NO;Caba–a 7;Santa Cruz;480000;0;;29-11-25
;07-07-25;07-07-25 18:00;07-07-25 19:00;ejecutada;15795747-3;Ana Silva;NO;Cancha Futbolito Aire Libre;La Florida;25000;25000;efectivo;04-07-25
;01-09-25;01-09-25 17:00;01-09-25 18:00;reservada;14582283-1;Luis Contreras;SI;Salon Eventos 1;Santa Cruz;100000;0;efectivo;30-08-25
;14-08-25;14-08-25;24-08-25;cancelada;16479158-0;Pedro Rojas;NO;Caba–a 10;La Florida;1200000;0;;13-08-25
;19-06-25;19-06-25 19:00;19-06-25 20:00;cancelada;18053720-9;Ana Silva;SI;Cancha Basquetbol Aire Libre;Santa Cruz;25000;0;;16-06-25
;02-01-25;02-01-25;09-01-25;reservada;24859483-7;Luis Contreras;SI;Caba–a 16;La Florida;840000;0;;30-12-24
;11-12-25;11-12-25 22:00;11-12-25 23:00;ejecutada;19104958-6;Pedro;NO;Cancha Basquetbol Aire Libre;Santa Cruz;25000;25000;tarjeta;09-12-25
;02-03-25;02-03-25;08-03-25;ejecutada;13224751-K;Luis Contreras;SI;Caba–a 4;Providencia;720000;720000;efectivo;26-02-25
;01-12-25;01-12-25;11-12-25;cancelada;16479158-0;Pedro Rojas;SI;Caba–a 18 X;La Florida;1200000;0;;26-11-25
;12-05-25;12-05-25;19-05-25;reservada;7686256-7;Luis Contreras;NO;Caba–a 10;Santa Cruz;840000;0;;11-05-25
;16-06-25;16-06-25 09:00;16-06-25 10:00;ejecutada;20713143-1;Luis Contreras;NO;Salon Eventos 1;Providencia;100000;100000;transferencia;11-06-25
;12-04-25;12-04-25;21-04-25;ejecutada;17263289-0;Juan Perez;NO;Caba–a 1;Providencia;1080000;1080000;efectivo;10-04-25
;02-02-25;02-02-25 17:00;02-02-25 18:00;reservada;22156789-7;Luis;NO;Restaurant 1;Providencia;30000;0;;29-01-25
;14-12-25;14-12-25;23-12-25;reservada;15838325-K;Maria Gonzalez;SI;Caba–a 6;La Florida;1080000;0;;09-12-25
;11-06-25;11-06-25;12-06-25;ejecutada;21743846-2;Pedro Rojas;SI;Caba–a 19;Santiago Centro;120000;120000;transferencia;09-06-25
;02-01-25;02-01-25 18:00;02-01-25 19:00;cancelada;14155657-6;Pedro Rojas;SI;Cancha Futbolito Aire Libre;Santiago Centro;25000;0;;02-01-25
;10-12-25;10-12-25 11:00;10-12-25 12:00;ejecutada;21947907-7;Maria Gonzalez;NO;Salon Eventos 4;Providencia;100000;100000;efectivo;08-12-25
;06-10-25;06-10-25;16-10-25;ejecutada;23498184-6;Juan Perez;SI;Caba–a 11;Providencia;1200000;1200000;tarjeta;03-10-25
;02-10-25;02-10-25 09:00;02-10-25 10:00;ejecutada;10837704-6;Pedro Rojas;SI;Cancha Padel Aire Libre;Santiago Centro;25000;25000;transferencia;01-10-25
;04-12-25;04-12-25;12-12-25;ejecutada;6807678-1;Pedro Rojas;NO;Caba–a 18;La Florida;960000;960000;efectivo;29-11-25
;13-11-25;13-11-25 15:00;13-11-25 16:00;reservada;21156024-K;Maria Gonzalez;SI;Salon Eventos 3;Santa Cruz;100000;0;;08-11-25
;14-11-25;14-11-25 10:00;14-11-25 11:00;reservada;13098747-8;Ana Silva;NO;Salon Eventos 4;La Florida;100000;0;;11-11-25
;04-07-25;04-07-25;04-07-25 23:00;reservada;9680719-0;Ana Silva;SI;Salon Eventos 2;Santiago Centro;100000;0;;02-07-25
;14-01-25;14-01-25 11:00;14-01-25 12:00;reservada;9381544-0;Pedro Rojas;NO;Salon Eventos 2;La Florida;100000;0;;14-01-25
;14-06-25;14-06-25 11:00;14-06-25 12:00;reservada;7781298-9;Pedro Rojas;SI;Cancha Tenis Aire Libre;Santiago Centro;25000;0;;13-06-25
;28-07-26;30-07-26 17:00;01-08-26 17:00;reservada;18776636-2;Pedro Rojas;NO;Caba–a 1;Santiago Centro;240000;0;;01-01-25
;15-07-25;15-07-25 08:00;15-07-25 09:00;reservada;16276138-2;Ana Silva;SI;Cancha Padel Aire Libre;Santa Cruz;25000;0;;11-07-25
;12-06-25;12-06-25 10:00;12-06-25 11:00;reservada;19020373-5;Juan Perez;NO;Piscina 1;Santiago Centro;20000;0;;07-06-25
;13-12-25;13-12-25;13-12-25 22:00;reservada;9487250-7;Ana Silva;NO;Piscina 1;Providencia;20000;0;;11-12-25
;13-01-25;13-01-25;19-01-25;reservada;20928234-8;Pedro Rojas;SI;Caba–a 5;Santa Cruz;720000;0;;09-01-25
;16-02-25;16-02-25 18:00;16-02-25 19:00;cancelada;9269949-8;Ana Silva;NO;Restaurant 1;Providencia;30000;0;;13-02-25
;10-04-25;10-04-25 16:00;10-04-25 17:00;reservada;6835621-0;Luis Contreras;NO;Restaurant 2;Santiago Centro;30000;0;;07-04-25
;14-05-25;14-05-25 21:00;14-05-25 22:00;ejecutada;19727843-9;Luis Contreras;SI;Cancha Basquetbol Aire Libre;Providencia;25000;25000;tarjeta;10-05-25
;09-10-25;09-10-25;10-10-25;reservada;21454860-7;Ana Silva;NO;Caba–a 19;La Florida;120000;0;;08-10-25
;08-09-25;08-09-25;11-09-25;reservada;17647891-8;Maria Gonzalez;SI;Caba–a 2;La Florida;360000;0;;05-09-25
;08-06-25;08-06-25 20:00;08-06-25 21:00;reservada;9087517-5;Pedro Rojas;NO;Cancha Tenis Techada;Santiago Centro;35000;0;;06-06-25
;14-11-25;14-11-25;22-11-25;ejecutada;17623443-1;Maria Gonzalez;SI;Caba–a 8;Providencia;960000;960000;efectivo;11-11-25
;07-12-25;07-12-25;14-12-25;ejecutada;20112516-2;Luis Contreras;NO;Caba–a 14;Santiago Centro;840000;840000;tarjeta;02-12-25
;13-10-25;13-10-25 19:00;13-10-25 20:00;cancelada;12192627-K;Pedro Rojas;NO;Salon Eventos 1;Santa Cruz;100000;0;;12-10-25
;14-03-25;14-03-25;23-03-25;ejecutada;20328291-5;Juan Perez;SI;Caba–a 4;Santa Cruz;1080000;1080000;efectivo;09-03-25
;15//25;15-05-25;19-05-25;reservada;9381544-0;Pedro Rojas;NO;Caba–a 11;La Florida;480000;0;;14-05-25
;17-07-25;17-07-25 18:00;17-07-25 19:00;cancelada;13233936-8;Maria Gonzalez;NO;Piscina 1;Santiago Centro;20000;0;;16-07-25
;11-02-25;11-02-25 08:00;11-02-25 09:00;reservada;7989270-K;Maria Gonzalez;SI;Cancha Padel Techada;La Florida;35000;0;;11-02-25
;08-05-25;08-05-25;17-05-25;reservada;8267419-5;Pedro Rojas;SI;Caba–a 9;Providencia;1080000;0;;03-05-25
;17-01-25;17-01-25;21-01-25;ejecutada;22966221-K;Maria Gonzalez;SI;Caba–a 12;Santa Cruz;480000;480000;transferencia;17-01-25
;07-12-25;07-12-25;11-12-25;reservada;5779517-4;Luis Contreras;SI;Caba–a 5;Santa Cruz;480000;0;;04-12-25
;15-06-25;15-06-25;20-06-25;reservada;11086191-5;Ana Silva;NO;Caba–a 3;Santiago Centro;600000;0;;11-06-25
;03-10-25;03-10-25 22:00;03-10-25 23:00;ejecutada;10216723-6;Juan Perez;NO;Cancha Futbolito Aire Libre;Santa Cruz;25000;25000;efectivo;02-10-25
;09-06-25;09-06-25 17:00;09-06-25 18:00;ejecutada;12592948-6;Ana Silva;SI;Cancha Futbolito Aire Libre;La Florida;25000;25000;tarjeta;06-06-25
;01-03-25;01-03-25;02-03-25;reservada;12887828-9;Maria Gonzalez;NO;Caba–a 3;Providencia;120000;0;;26-02-25
;06-01-25;06-01-25;16-01-25;ejecutada;8991172-9;Juan Perez;NO;Caba–a 5;Santiago Centro;1200000;1200000;tarjeta;03-01-25
;01-04-25;01-04-25 09:00;01-04-25 10:00;cancelada;13547030-0;Ana Silva;SI;Salon Eventos 2;La Florida;100000;0;;30-03-25
;08-07-25;08-07-25;08-07-25 14:00;cancelada;23046980-0;Luis Contreras;SI;Cancha Tenis Aire Libre;Providencia;25000;0;;04-07-25
;17-06-25;17-06-25 14:00;17-06-25 15:00;ejecutada;7500349-8;Pedro Rojas;NO;Salon Eventos 4;La Florida;100000;100000;efectivo;13-06-25
;10-07-25;10-07-25;20-07-25;cancelada;20642956-9;Ana Silva;NO;Caba–a 3;Providencia;1200000;0;;09-07-25
;06-10-25;06-10-25;15-10-25;ejecutada;20229991-1;Ana Silva;SI;Caba–a 3;Providencia;1080000;1080000;transferencia;01-10-25
;04-06-25;04-06-25;07-06-25;cancelada;22156789-7;Luis Contreras;NO;Caba–a 12;Santiago Centro;360000;0;;31-05-25
;09-11-25;09-11-25;19-11-25;cancelada;24949712-6;Luis Contreras;SI;Caba–a 10;Santa Cruz;1200000;0;transferencia;07-11-25
;10-07-25;10-07-25 21:00;10-07-25 22:00;ejecutada;15804334-3;Luis Contreras;SI;Cancha Futbolito Techada;Providencia;35000;35000;transferencia;08-07-25
;06-06-25;06-06-25;06-06-25 09:00;ejecutada;9706683-3;Ana Silva;SI;Cancha Futbolito Techada X;Santiago Centro;35000;35000;transferencia;06-06-25
;10-12-25;10-12-25;11-12-25;reservada;22156789-7;Luis Contreras;NO;Caba–a 7;Santiago Centro;120000;0;;05-12-25
;18-04-25;18-04-25;23-04-25;ejecutada;13734270-7;Luis Contreras;NO;Caba–a 13;La Florida;600000;600000;efectivo;14-04-25
;19-07-25;19-07-25;29-07-25;reservada;10645717-4;Pedro Rojas;NO;Caba–a 2;Providencia;1200000;0;;15-07-25
;09-04-25;09-04-25;12-04-25;cancelada;19443419-7;Pedro Rojas;NO;Caba–a 16;Santiago Centro;360000;0;;07-04-25
;12-11-25;12-11-25 08:00;12-11-25 09:00;ejecutada;13981951-9;Ana Silva;NO;Cancha Futbolito Techada;Santa Cruz;35000;35000;efectivo;11-11-25
;08-06-25;08-06-25 15:00;08-06-25 16:00;cancelada;9269949-8;Ana Silva;NO;Cancha Padel Aire Libre;Santa Cruz;25000;0;;04-06-25
;01-12-25;01-12-25;10-12-25;cancelada;19208091-6;Maria Gonzalez;NO;Caba–a 16;La Florida;1080000;0;;29-11-25
;12-08-25;12-08-25;16-08-25;ejecutada;19443419-7;Pedro Rojas;NO;Caba–a 18;Providencia;480000;480000;transferencia;11-08-25
;15-03-25;15-03-25;17-03-25;reservada;10216723-6;Juan Perez;NO;Caba–a 6;Santiago Centro;240000;0;;14-03-25
;14-08-25;14-08-25;16-08-25;cancelada;21351051-7;Ana Silva;NO;Caba–a 11;Santa Cruz;240000;0;;11-08-25
;01-10-25;01-10-25;03-10-25;ejecutada;15916589-2;Luis Contreras;NO;Caba–a 20;Santiago Centro;240000;240000;transferencia;30-09-25
;13-09-25;13-09-25;17-09-25;ejecutada;15499152-2;Maria Gonzalez;NO;Caba–a 8;La Florida;480000;480000;tarjeta;12-09-25
;06-01-25;06-01-25;10-01-25;cancelada;22307110-4;Luis Contreras;SI;Caba–a 2;Providencia;480000;0;;05-01-25
;11-07-25;11-07-25;15-07-25;ejecutada;20194778-2;Ana Silva;SI;Caba–a 7;Santa Cruz;480000;480000;transferencia;11-07-25
;17-09-25;17-09-25 09:00;17-09-25 10:00;reservada;9203394-5;Luis Contreras;SI;Piscina 2;Santa Cruz;20000;0;;14-09-25
;03-06-25;03-06-25;03-06-25 18:00;cancelada;11483413-0;Ana Silva;SI;Salon Eventos 4;Santa Cruz;100000;0;;02-06-25
;04-05-25;04-05-25;12-05-25;cancelada;10645717-4;Pedro Rojas;SI;Caba–a 11;Santa Cruz;960000;0;;30-04-25
;07-11-25;07-11-25;08-11-25;ejecutada;16012079-7;Ana Silva;SI;Caba–a 3;Santiago Centro;120000;120000;tarjeta;02-11-25
;15-01-25;15-01-25 11:00;15-01-25 12:00;reservada;6858349-7;Luis Contreras;NO;Cancha Basquetbol Aire Libre;La Florida;25000;0;;13-01-25
;05-12-25;05-12-25;11-12-25;reservada;5983819-9;Ana Silva;NO;Caba–a 12;La Florida;720000;0;;05-12-25
;14-05-25;14-05-25 19:00;14-05-25 20:00;cancelada;5204506-1;Ana Silva;SI;Salon Eventos 3;Providencia;100000;0;;11-05-25
;15-10-25;15-10-25 17:00;15-10-25 18:00;ejecutada;8442882-5;Ana Silva;NO;Salon Eventos 3;Providencia;100000;100000;tarjeta;13-10-25
;12-12-25;12-12-25 22:00;12-12-25 23:00;cancelada;15047491-4;Ana Silva;NO;Cancha Padel Techada;Santiago Centro;35000;0;;10-12-25
;14-06-25;14-06-25 17:00;14-06-25 18:00;ejecutada;17623443-1;Maria Gonzalez;SI;Piscina 1;Santa Cruz;20000;20000;transferencia;12-06-25
;15-10-25;15-10-25 18:00;15-10-25 19:00;ejecutada;16825005-3;Ana Silva;SI;Piscina 1;Santa Cruz;20000;20000;efectivo;11-10-25
;07-11-25;07-11-25;17-11-25;cancelada;24639890-9;Luis Contreras;SI;Caba–a 15;Santiago Centro;1200000;0;;04-11-25
;01-01-25;01-01-25;08-01-25;ejecutada;12013508-2;Ana Silva;NO;Caba–a 13;Santa Cruz;840000;840000;tarjeta;28-12-24
;02-10-25;02-10-25;/05/25;cancelada;6642396-4;Maria Gonzalez;SI;Caba–a 2;Santiago Centro;840000;0;;29-09-25
;02-01-25;02-01-25 20:00;02-01-25 21:00;reservada;13650113-5;Pedro Rojas;NO;Cancha Futbolito Techada;Santiago Centro;35000;0;;01-01-25
;10-10-25;10-10-25 17:00;10-10-25 18:00;ejecutada;18565989-5;Luis Contreras;NO;Cancha Basquetbol Aire Libre;Providencia;25000;25000;tarjeta;07-10-25
;07-02-25;07-02-25 12:00;07-02-25 13:00;reservada;6951223-2;Maria Gonzalez;SI;Piscina 2;La Florida;20000;0;;06-02-25
;09-07-25;09-07-25;15-07-25;ejecutada;8267419-5;Pedro Rojas;NO;Caba–a 15;Santa Cruz;720000;720000;tarjeta;09-07-25
;05-08-25;05-08-25 22:00;05-08-25 23:00;cancelada;13203913-5;Maria Gonzalez;SI;Cancha Futbolito Techada;Santiago Centro;35000;0;;31-07-25
;11-01-25;11-01-25;19-01-25;ejecutada;9087517-5;Pedro Rojas;SI;Caba–a 2;Santa Cruz;960000;960000;transferencia;06-01-25
;20-01-25;20-01-25 18:00;20-01-25 19:00;cancelada;6504014-K;Luis Contreras;SI;Cancha Tenis Techada;Santa Cruz;35000;0;;18-01-25
;09-08-25;09-08-25 17:00;09-08-25 18:00;ejecutada;13288053-0;Luis Contreras;NO;Salon Eventos 4;Santiago Centro;100000;100000;tarjeta;09-08-25
;20-04-25;20-04-25 15:00;20-04-25 16:00;cancelada;19197001-2;Ana Silva;SI;Cancha Tenis Techada;La Florida;35000;0;;15-04-25
;18-05-25;18-05-25 09:00;18-05-25 10:00;reservada;22388037-1;Luis Contreras;SI;Cancha Basquetbol Aire Libre X;Providencia;25000;0;;18-05-25
;07-01-25;07-01-25 22:00;07-01-25 23:00;reservada;6126625-9;Maria Gonzalez;NO;Piscina 2;Santiago Centro;20000;0;;04-01-25
;03-10-25;03-10-25;05-10-25;reservada;5475559-7;Luis Contreras;NO;Caba–a 9;Santa Cruz;240000;0;;30-09-25
;18-08-25;18-08-25 08:00;18-08-25 09:00;cancelada;16257735-2;Maria Gonzalez;NO;Cancha Padel Aire Libre;Providencia;25000;0;;13-08-25
;05-01-25;05-01-25 22:00;05-01-25 23:00;cancelada;17049622-1;Pedro Rojas;NO;Cancha Tenis Techada;Providencia;35000;0;;31-12-24
;04-06-25;04-06-25 15:00;04-06-25 16:00;reservada;7997541-9;Ana Silva;SI;Piscina 1;Santiago Centro;20000;0;;04-06-25
;18-10-25;18-10-25;19-10-25;reservada;15600733-1;Luis Contreras;SI;Caba–a 17;Santiago Centro;120000;0;;16-10-25
;18-01-25;18-01-25;23-01-25;cancelada;17877832-3;Pedro Rojas;SI;Caba–a 19;Santa Cruz;600000;0;;18-01-25
;09-02-25;09-02-25 20:00;09-02-25 21:00;reservada;17623443-1;Maria Gonzalez;NO;Cancha Futbolito Aire Libre;Santa Cruz;25000;0;;04-02-25
;08-12-25;08-12-25 19:00;08-12-25 20:00;cancelada;21217431-9;Juan Perez;NO;Restaurant 2;Santiago Centro;30000;0;;03-12-25
;11-08-25;11-08-25;16-08-25;cancelada;15115625-8;Juan Perez;SI;Caba–a 13;Providencia;600000;0;;09-08-25
;06-06-25;06-06-25;10-06-25;reservada;9087517-5;Pedro Rojas;SI;Caba–a 8;Santiago Centro;480000;0;;04-06-25
;09-01-25;09-01-25 12:00;09-01-25 13:00;cancelada;11450455-6;Luis Contreras;SI;Salon Eventos 2;Santa Cruz;100000;0;;04-01-25
;04-05-25;04-05-25;13-05-25;ejecutada;13505604-9;Ana Silva;NO;Caba–a 5;Santiago Centro;1080000;1080000;transferencia;01-05-25
;02-10-25;02-10-25 09:00;02-10-25 10:00;reservada;6504014-K;Luis Contreras;SI;Cancha Futbolito Aire Libre;La Florida;25000;0;;28-09-25
;19-02-25;19-02-25;24-02-25;cancelada;5135966-6;Pedro Rojas;SI;Caba–a 5;Santiago Centro;600000;0;;19-02-25
;02-08-25;02-08-25;05-08-25;ejecutada;22110547-8;Maria Gonzalez;SI;Caba–a 20;Santa Cruz;360000;360000;efectivo;29-07-25
;01-03-25;01-03-25;10-03-25;cancelada;15954986-0;Maria Gonzalez;NO;Caba–a 11;Providencia;1080000;0;;26-02-25
;19-01-25;19-01-25 14:00;19-01-25 15:00;ejecutada;6085414-9;Maria Gonzalez;NO;Cancha Padel Techada;Santiago Centro;35000;35000;transferencia;18-01-25
;06-10-25;06-10-25;10-10-25;reservada;7479790-3;Luis Contreras;NO;Caba–a 12;Santiago Centro;480000;0;;04-10-25
;16-06-25;16-06-25;21-06-25;ejecutada;23939713-1;Pedro Rojas;SI;Caba–a 2 X;La Florida;600000;600000;efectivo;11-06-25
;13-07-25;13-07-25 22:00;13-07-25 23:00;reservada;13914038-9;Luis Contreras;SI;Cancha Tenis Aire Libre;Santiago Centro;25000;0;;09-07-25
;09-01-25;09-01-25;11-01-25;cancelada;18754494-7;Maria Gonzalez;SI;Caba–a 8;La Florida;240000;0;;09-01-25
;16-09-25;16-09-25 14:00;16-09-25 15:00;reservada;17914991-5;Maria Gonzalez;SI;Piscina 1;Providencia;20000;0;;12-09-25
;17-09-25;17-09-25;26-09-25;cancelada;19652678-1;Juan Perez;SI;Caba–a 14;Providencia;1080000;0;;17-09-25
;31/02/25;02-03-25;08-03-25;cancelada;16825005-5;Ana Silva;NO;Caba–a 3;Santiago Centro;720000;0;;01-03-25
;17-12-25;17-12-25 10:00;17-12-25 11:00;cancelada;18053720-1;Ana Silva;SI;Cancha Tenis Techada;Santa Cruz;35000;0;;14-12-25
;08-11-25;08-11-25;09-11-25;cancelada;19544570-2;Maria Gonzalez;SI;Caba–a 14 X;Santiago Centro;120000;0;;07-11-25
;09-11-25;09-11-25;17-11-25;cancelada;12341381-4;Luis Contreras;NO;Caba–a 6;Santa Cruz;960000;0;;04-11-25
;20-03-25;20-03-25;22-03-25;reservada;18646254-8;Pedro Rojas;NO;Caba–a 2;La Florida;240000;0;;20-03-25
;15-07-25;15-07-25;25-07-25;ejecutada;14756759-6;Juan;SI;Caba–a 3;Santa Cruz;1200000;1200000;transferencia;13-07-25
;03-11-25;03-11-25 11:00;03-11-25 12:00;reservada;12875377-K;Maria Gonzalez;NO;Cancha Tenis Aire Libre;Providencia;25000;0;;03-11-25
;06-11-25;06-11-25;12-11-25;ejecutada;12922397-9;Maria Gonzalez;SI;Caba–a 10;Santa Cruz;720000;720000;tarjeta;03-11-25
;18-04-25;18-04-25 12:00;18-04-25 13:00;ejecutada;20914133-9;Juan Perez;NO;Salon Eventos 1;Santiago Centro;100000;100000;transferencia;16-04-25
;09-06-25;09-06-25 18:00;09-06-25 19:00;cancelada;11374837-0;Maria Gonzalez;NO;Salon Eventos 3;Providencia;100000;0;;09-06-25
;17-08-25;17-08-25;23-08-25;ejecutada;16657576-1;Luis Contreras;SI;Caba–a 16;Providencia;720000;720000;efectivo;15-08-25
;12-10-25;12-10-25 10:00;12-10-25 11:00;ejecutada;23021174-4;Maria Gonzalez;NO;Salon Eventos 1;La Florida;100000;100000;transferencia;10-10-25
;08-07-26;10-07-26 08:30;10-07-26 09:30;reservada;20078438-3;Ana Silva;SI;Cancha Basquetbol Techada;Santa Cruz;35000;35000;efectivo;31-05-25
;16-10-25;16-10-25 20:00;16-10-25 21:00;cancelada;6626889-6;Pedro Rojas;SI;Cancha Tenis Techada;Providencia;35000;0;;16-10-25
;19-01-25;19-01-25 14:00;19-01-25 15:00;reservada;12080481-2;Maria Gonzalez;NO;Restaurant 2;Santiago Centro;30000;0;;15-01-25
;04-06-25;04-06-25 20:00;04-06-25 21:00;ejecutada;7206185-3;Luis Contreras;SI;Piscina 2;Providencia;20000;20000;efectivo;30-05-25
;16-12-25;16-12-25;22-12-25;cancelada;21349217-9;Luis Contreras;SI;Caba–a 15;La Florida;720000;0;;12-12-25
;01-09-25;01-09-25;11-09-25;reservada;19362869-9;Luis Contreras;SI;Caba–a 9;Providencia;1200000;0;;01-09-25
;11-12-25;11-12-25;14-12-25;reservada;11738535-3;Maria Gonzalez;SI;Caba–a 12;Providencia;360000;0;;11-12-25
;16-11-25;16-11-25 10:00;16-11-25 11:00;cancelada;11247006-9;Luis Contreras;NO;Restaurant 2;Providencia;30000;0;;11-11-25
;01-09-25;01-09-25;03-09-25;ejecutada;15790934-7;Maria Gonzalez;SI;Caba–a 19;Santa Cruz;240000;240000;efectivo;27-08-25
;16-05-25;16-05-25;25-05-25;cancelada;10701917-0;Pedro Rojas;SI;Caba–a 11;Santiago Centro;1080000;0;;11-05-25
;14-04-25;14-04-25 21:00;14-04-25 22:00;reservada;17133976-6;Juan Perez;NO;Cancha Basquetbol Aire Libre;Santa Cruz;25000;0;;11-04-25
;20-02-25;20-02-25 21:00;20-02-25 22:00;cancelada;21178138-6;Ana Silva;NO;Restaurant 2;La Florida;30000;0;;15-02-25
;16-01-25;16-01-25;23-01-25;reservada;15819975-0;Pedro Rojas;SI;Caba–a 11;Santiago Centro;840000;0;;16-01-25
;11-09-25;11-09-25;12-09-25;reservada;16288155-8;Ana Silva;NO;Caba–a 7;Santa Cruz;120000;0;;09-09-25
;01-04-25;01-04-25;08-04-25;reservada;21947907-7;Maria Gonzalez;SI;Caba–a 17;Providencia;840000;0;;28-03-25
;12-03-25;12-03-25;15-03-25;cancelada;19599688-1;Juan Perez;SI;Caba–a 1;Providencia;360000;0;;07-03-25
;20-08-25;20-08-25;21-08-25;reservada;13288053-0;Luis Contreras;NO;Caba–a 14;Santiago Centro;120000;0;;15-08-25
;11-05-25;11-05-25 18:00;11-05-25 19:00;ejecutada;21934163-6;Maria Gonzalez;SI;Salon Eventos 1;La Florida;100000;100000;efectivo;11-05-25
;07-11-25;07-11-25;12-11-25;ejecutada;16953331-8;Pedro Rojas;SI;Caba–a 7;Santa Cruz;600000;600000;efectivo;02-11-25
;02-12-25;02-12-25 17:00;02-12-25 18:00;reservada;20642956-9;Ana Silva;SI;Cancha Futbolito Aire Libre;Providencia;25000;0;;01-12-25
;01-11-25;01-11-25;01-11-25 12:00;reservada;7735551-0;Ana Silva;NO;Cancha Tenis Techada X;Santiago Centro;35000;0;;28-10-25
;08-07-25;08-07-25;18-07-25;reservada;7101185-2;Pedro Rojas;NO;Caba–a 4;Santiago Centro;1200000;0;;06-07-25
;04-10-25;04-10-25 13:00;04-10-25 14:00;reservada;17275270-5;Pedro Rojas;NO;Cancha Basquetbol Aire Libre;Providencia;25000;0;;30-09-25
;09-12-25;09-12-25;18-12-25;reservada;7479790-3;Luis Contreras;NO;Caba–a 5;Santiago Centro;1080000;0;;05-12-25
;06-10-25;06-10-25;16-10-25;ejecutada;21734074-8;Juan Perez;SI;Caba–a 6;Santiago Centro;1200000;1200000;efectivo;01-10-25
